File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF370GDB	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF415JAG, ENCFF715OWV, ENCFF821QFO, ENCFF857MJR, ENCFF958RKH	64833	Gene Yeo, UCSD	ad39cf0abd39184965af52f2c88153ee		https://www.encodeproject.org/files/ENCFF370GDB/@@download/ENCFF370GDB.bed.gz	hg19				released	s3://encode-public/2018/06/08/8c868d8e-da4a-4e20-b4f9-9e1c166a1c5f/ENCFF370GDB.bed.gz				
ENCFF385MJU	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF098RFI, ENCFF184AQO, ENCFF353RQP, ENCFF623LPT, ENCFF889XJU	64472	Gene Yeo, UCSD	4c8e478566c6793a650547733a3c214b		https://www.encodeproject.org/files/ENCFF385MJU/@@download/ENCFF385MJU.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/2cf038d8-cdbb-450e-8e30-f7e6f4ea58b2/ENCFF385MJU.bed.gz				
ENCFF821QFO	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF415JAG, ENCFF715OWV	2699776	Gene Yeo, UCSD	469863bc1204ad43d293db0485a9ccc4		https://www.encodeproject.org/files/ENCFF821QFO/@@download/ENCFF821QFO.bed.gz	hg19				released	s3://encode-public/2016/11/30/3950b92a-2e26-4b30-9db8-743f5255ee1b/ENCFF821QFO.bed.gz				
ENCFF857MJR	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF715OWV, ENCFF958RKH	3150994	Gene Yeo, UCSD	65b0090de1ced20fc2ceefadf85fb500		https://www.encodeproject.org/files/ENCFF857MJR/@@download/ENCFF857MJR.bed.gz	hg19				released	s3://encode-public/2016/11/30/95868d32-fe9d-4e54-aa10-fd3d60f73904/ENCFF857MJR.bed.gz				
ENCFF623LPT	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF098RFI, ENCFF184AQO	3167322	Gene Yeo, UCSD	edcb5ff788606c89b8bf3be2d91e7244		https://www.encodeproject.org/files/ENCFF623LPT/@@download/ENCFF623LPT.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/1b302e10-029e-4484-bd90-c99a346cd6cd/ENCFF623LPT.bed.gz				
ENCFF353RQP	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF184AQO, ENCFF889XJU	2704047	Gene Yeo, UCSD	6f874797d8d2d20306b47d58d067dd0a		https://www.encodeproject.org/files/ENCFF353RQP/@@download/ENCFF353RQP.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/36c23acb-5842-4977-b3ba-7809a377b3a4/ENCFF353RQP.bed.gz				
ENCFF865AZP	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF106PSH, ENCFF586AZF, ENCFF632LPF, ENCFF774EDY, ENCFF913UPA	10097	Gene Yeo, UCSD	9ee9b0b2881f4b51fd700ddf95922e25		https://www.encodeproject.org/files/ENCFF865AZP/@@download/ENCFF865AZP.bed.gz	hg19				released	s3://encode-public/2018/06/08/d01914b1-3c7c-46e6-a0ab-fabcb2721f5f/ENCFF865AZP.bed.gz				
ENCFF317HGW	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF160TWL, ENCFF558CNE, ENCFF593CEQ, ENCFF743ZXA, ENCFF944XFZ	10106	Gene Yeo, UCSD	d9938deb7f0ded952df161616f64dead		https://www.encodeproject.org/files/ENCFF317HGW/@@download/ENCFF317HGW.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/c6e6abc9-1713-4517-88e8-82a771667588/ENCFF317HGW.bed.gz				
ENCFF774EDY	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF106PSH, ENCFF586AZF	1046900	Gene Yeo, UCSD	bca198a0975feba82cb4a8bb954e3a25		https://www.encodeproject.org/files/ENCFF774EDY/@@download/ENCFF774EDY.bed.gz	hg19				released	s3://encode-public/2016/11/30/53c3b498-9b85-4cb7-bbb8-bf8b14b3f2c6/ENCFF774EDY.bed.gz				
ENCFF913UPA	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF586AZF, ENCFF632LPF	620674	Gene Yeo, UCSD	6449aac8ccbea4dc2f43040baff2e6cd		https://www.encodeproject.org/files/ENCFF913UPA/@@download/ENCFF913UPA.bed.gz	hg19				released	s3://encode-public/2016/11/30/0d1f3130-ae09-4b7b-99e7-7773c39a49ed/ENCFF913UPA.bed.gz				
ENCFF944XFZ	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF160TWL, ENCFF743ZXA	1062684	Gene Yeo, UCSD	fc11098a54e096c6871d4769af91bfe0		https://www.encodeproject.org/files/ENCFF944XFZ/@@download/ENCFF944XFZ.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/c7650be6-00e9-45e0-b3eb-78fb11b011be/ENCFF944XFZ.bed.gz				
