Non_B	exon_pos	Q	Enrrichment_Peak
G4	Upstream	Q1	2.77116402116402
G4	Upstream	Q2	2.5728813559322
G4	Upstream	Q3	2.26603325415677
G4	Upstream	Q4	1.72727272727273
G4	Downstream	Q1	4.94793536804309
G4	Downstream	Q2	4.53432282003711
G4	Downstream	Q3	3.45957446808511
G4	Downstream	Q4	3.1588785046729
DR	Upstream	Q1	1.24470338983051
DR	Upstream	Q2	1.21655328798186
DR	Upstream	Q3	1.29009433962264
DR	Upstream	Q4	1.2273276904474
DR	Downstream	Q1	1.26436781609195
DR	Downstream	Q2	1.18961625282167
DR	Downstream	Q3	1.28655660377358
DR	Downstream	Q4	1.24186046511628
H-DNA	Upstream	Q1	1.40522875816993
H-DNA	Upstream	Q2	1.3680981595092
H-DNA	Upstream	Q3	1.35057471264368
H-DNA	Upstream	Q4	3.89411764705882
H-DNA	Downstream	Q1	1.49693251533742
H-DNA	Downstream	Q2	1.52173913043478
H-DNA	Downstream	Q3	1.53125
H-DNA	Downstream	Q4	1.55952380952381
IR	Upstream	Q1	1.0964242667738
IR	Upstream	Q2	1.08784596871239
IR	Upstream	Q3	1.09632846427161
IR	Upstream	Q4	1.09585889570552
IR	Downstream	Q1	1.08422301304864
IR	Downstream	Q2	1.06645938593082
IR	Downstream	Q3	1.08224594701463
IR	Downstream	Q4	1.08370221327968
MR	Upstream	Q1	1.11589805825243
MR	Upstream	Q2	1.12476489028213
MR	Upstream	Q3	1.21387283236994
MR	Upstream	Q4	1.37890625
MR	Downstream	Q1	1.19638403990025
MR	Downstream	Q2	1.12225705329154
MR	Downstream	Q3	1.24418604651163
MR	Downstream	Q4	1.23537061118336
STR	Upstream	Q1	1.26038781163435
STR	Upstream	Q2	1.30820995962315
STR	Upstream	Q3	1.86736020806242
STR	Upstream	Q4	4.84137055837563
STR	Downstream	Q1	1.23395721925134
STR	Downstream	Q2	1.18666666666667
STR	Downstream	Q3	1.2255033557047
STR	Downstream	Q4	1.19448094612352
Z-DNA	Upstream	Q1	1.39370078740157
Z-DNA	Upstream	Q2	1.54918032786885
Z-DNA	Upstream	Q3	1.4051724137931
Z-DNA	Upstream	Q4	1.66964285714286
Z-DNA	Downstream	Q1	1.46280991735537
Z-DNA	Downstream	Q2	1.325
Z-DNA	Downstream	Q3	1.55084745762712
Z-DNA	Downstream	Q4	1.64102564102564
