mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	87564	6048	2141	315	1.09094675292	88768.7551719	0.0
HepG2_SDAD1	ENCSR521WAI	80268	4999	714	34	-0.387203903814	83777.5824198	0.0
K562_RBM25	ENCSR344XID	72243	3999	1055	61	0.0628566718672	74026.3371656	0.0
HepG2_HNRNPAB	ENCSR279HMU	81786	5526	681	57	0.308925464903	85842.2583682	0.0
K562_TRA2A	ENCSR129RWD	78359	5234	697	41	-0.183349684377	82123.5209549	0.0
HepG2_EXOSC5	ENCSR521WAI	79835	5005	589	28	-0.399189507239	83610.5021184	0.0
K562_HNRNPL	ENCSR031RRO	79707	5606	1335	82	-0.195409241806	82502.5591341	0.0
K562_SUPV3L1	ENCSR661HEL	75729	5058	1331	88	-0.0146563013132	77973.9244691	0.0
HepG2_SMNDC1	ENCSR491FOC	84607	5667	772	75	0.536481576005	88588.036734	0.0
K562_FASTKD2	ENCSR084SCN	76611	4695	598	32	-0.195647184386	80050.8858936	0.0
K562_GEMIN5	ENCSR661HEL	76845	5152	755	61	0.269151397299	80373.1400979	0.0
HepG2_KHSRP	ENCSR237YZT	85868	6081	1034	57	-0.361390361247	89779.9854447	0.0
K562_RTF1	ENCSR815CVQ	79182	5594	719	45	-0.174774515233	83254.8907642	0.0
K562_EIF3D	ENCSR661HEL	76180	5071	1152	91	0.24693974714	78784.0536466	0.0
HepG2_ABCF1	ENCSR067GHD	85086	6075	1049	92	0.2967284509	88893.3260602	0.0
HepG2_CEBPZ	ENCSR067GHD	84049	6024	679	42	-0.212513361953	88636.7782122	0.0
K562_EIF4A3	ENCSR913CAE	75471	5448	3686	115	-1.21022652293	73499.4515586	0.0
HepG2_HSPD1	ENCSR246RRQ	86019	6133	923	49	-0.42548649006	90218.2954517	0.0
K562_HNRNPK	ENCSR129RWD	76793	4867	1437	75	-0.280155526379	78664.0458109	0.0
HepG2_ESF1	ENCSR067GHD	84478	6021	883	47	-0.421180118925	88648.5963743	0.0
HepG2_PUM1	ENCSR042QTH	86249	5869	1126	86	0.166594759176	89709.9603626	0.0
HepG2_SRSF9	ENCSR603TCV	84066	5859	1189	102	0.299688416074	87361.5925284	0.0
K562_SART3	ENCSR419JMU	78632	5500	1118	59	-0.406448397519	81794.5287785	0.0
HepG2_CELF1	ENCSR042QTH	84935	5821	974	63	-0.083477779456	88693.8512771	0.0
HepG2_DDX3X	ENCSR237YZT	85640	6048	1175	81	-0.0348402875159	89193.2060849	0.0
K562_CPEB4	ENCSR031RRO	81312	5802	801	47	-0.282223500876	85426.2713373	0.0
HepG2_FTO	ENCSR264TUE	80466	5511	1488	73	-0.481340967036	82883.4834914	0.0
HepG2_DDX1	ENCSR305XWT	82539	5277	564	30	-0.265374685933	86632.0244387	0.0
K562_GLRX3	ENCSR174OYC	79626	5755	799	40	-0.529771845637	83711.2955134	0.0
K562_FAM120A	ENCSR661HEL	75915	4947	582	31	-0.290919862063	79640.6561441	0.0
K562_SLTM	ENCSR084SCN	75932	4580	612	36	-0.0361743363563	79221.2155934	0.0
K562_DROSHA	ENCSR164MUK	80716	5705	1277	65	-0.473619106958	83757.9438715	0.0
K562_NUSAP1	ENCSR572FFX	75714	5333	593	32	-0.384347439316	79801.8364503	0.0
HepG2_HNRNPUL1	ENCSR104ABF	78667	5144	1090	65	-0.132948587559	81516.9242474	0.0
HepG2_ADAR	ENCSR305XWT	81783	5226	624	42	0.0749371595553	85682.0986303	0.0
K562_BCLAF1	ENCSR245BNJ	78166	5305	837	69	0.280557200394	81668.8600349	0.0
HepG2_BOP1	ENCSR264TUE	79882	5529	1438	86	-0.210803228652	82390.2239063	0.0
HepG2_RBM22	ENCSR997HCQ	87239	6139	1392	137	0.483986244961	90345.2683219	0.0
HepG2_EIF3G	ENCSR003EKR	83971	5685	644	40	-0.124329868851	88293.2204809	0.0
K562_PUF60	ENCSR620PUP	83870	6075	2594	124	-0.599567911632	84591.7603838	0.0
HepG2_SF1	ENCSR104ABF	79239	5305	1542	100	-0.0459448429317	81291.8925104	0.0
K562_FXR2	ENCSR081EST	70195	3554	434	21	-0.0653811253317	72841.8074106	0.0
K562_TAF15	ENCSR942UNX	72878	4147	516	26	-0.175444122015	75944.8164576	0.0
HepG2_RCC2	ENCSR674KEK	84861	5754	1013	77	0.164832635117	88448.1227646	0.0
HepG2_SRSF5	ENCSR042QTH	88026	6022	530	43	0.246031303677	92905.4981435	0.0
K562_NFX1	ENCSR815CVQ	78715	5589	610	37	-0.227235563761	83014.9721258	0.0
HepG2_AARS	ENCSR856ZRV	85192	5852	486	29	-0.203115223299	90016.9162254	0.0
HepG2_EXOSC9	ENCSR003EKR	83629	5670	679	33	-0.480290973228	87880.7049956	0.0
K562_QKI	ENCSR344XID	74921	4325	620	30	-0.254635691601	77951.3388302	0.0
K562_SUGP2	ENCSR164MUK	79147	5485	1698	87	-0.43570610618	81099.8084139	0.0
HepG2_EIF3D	ENCSR689PHN	81815	5617	681	43	-0.120752569545	85989.9975897	0.0
K562_RAVER1	ENCSR344XID	71325	3639	879	37	-0.277472104	73143.2088836	0.0
