mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	89555	4057	2239	217	1.09720119438	88767.5849775	0.0
HepG2_SDAD1	ENCSR521WAI	81925	3342	723	25	-0.23847551792	83777.5675936	0.0
K562_RBM25	ENCSR344XID	73547	2695	1066	50	0.356173783724	74026.3783896	0.0
HepG2_HNRNPAB	ENCSR279HMU	83607	3705	696	42	0.445452216359	85842.270078	0.0
K562_TRA2A	ENCSR129RWD	80061	3532	709	29	-0.109118434425	82123.5168337	0.0
HepG2_EXOSC5	ENCSR521WAI	81483	3357	601	16	-0.629966525159	83610.5090973	0.0
K562_HNRNPL	ENCSR031RRO	81533	3780	1360	57	-0.145574961693	82502.5448169	0.0
K562_SUPV3L1	ENCSR661HEL	77373	3414	1356	63	0.0744337097437	77973.9271349	0.0
HepG2_SMNDC1	ENCSR491FOC	86473	3801	790	57	0.714979982246	88588.0720568	0.0
K562_FASTKD2	ENCSR084SCN	78143	3163	604	26	0.0887861611613	80050.8822903	0.0
K562_GEMIN5	ENCSR661HEL	78512	3485	775	41	0.253182119769	80373.1324574	0.0
HepG2_KHSRP	ENCSR237YZT	87866	4083	1044	47	-0.0457135991902	89779.9455488	0.0
K562_RTF1	ENCSR815CVQ	80997	3779	735	29	-0.241827394449	83254.8922371	0.0
K562_EIF3D	ENCSR661HEL	77817	3434	1184	59	0.175313101902	78784.0284649	0.0
HepG2_ABCF1	ENCSR067GHD	87085	4076	1076	65	0.368103736339	88893.3313364	0.0
HepG2_CEBPZ	ENCSR067GHD	86039	4034	689	32	-0.0136524048291	88636.7713518	0.0
K562_EIF4A3	ENCSR913CAE	77249	3670	3721	80	-1.14388229119	73497.9803771	0.0
HepG2_HSPD1	ENCSR246RRQ	88032	4120	941	31	-0.506542800096	90218.2918788	0.0
K562_HNRNPK	ENCSR129RWD	78370	3290	1461	51	-0.266173112888	78664.0270328	0.0
HepG2_ESF1	ENCSR067GHD	86463	4036	894	36	-0.213121205118	88648.5647865	0.0
HepG2_PUM1	ENCSR042QTH	88172	3946	1150	62	0.268635888025	89709.9732437	0.0
HepG2_SRSF9	ENCSR603TCV	85995	3930	1217	74	0.411991475076	87361.6163507	0.0
K562_SART3	ENCSR419JMU	80410	3722	1139	38	-0.472399548847	81794.5217901	0.0
HepG2_CELF1	ENCSR042QTH	86861	3895	988	49	0.145355941257	88693.8544323	0.0
HepG2_DDX3X	ENCSR237YZT	87632	4056	1190	66	0.260976489188	89193.2335866	0.0
K562_CPEB4	ENCSR031RRO	83194	3920	820	28	-0.464571252794	85426.2823136	0.0
HepG2_FTO	ENCSR264TUE	82278	3699	1514	47	-0.534261118386	82883.4563488	0.0
HepG2_DDX1	ENCSR305XWT	84299	3517	576	18	-0.41690172283	86632.027829	0.0
K562_GLRX3	ENCSR174OYC	81478	3903	815	24	-0.701938548667	83711.2997794	0.0
K562_FAM120A	ENCSR661HEL	77517	3345	592	21	-0.282701321008	79640.652963	0.0
K562_SLTM	ENCSR084SCN	77419	3093	626	22	-0.184978293981	79221.2182372	0.0
K562_DROSHA	ENCSR164MUK	82570	3851	1299	43	-0.494608283775	83757.9161408	0.0
K562_NUSAP1	ENCSR572FFX	77442	3605	604	21	-0.421042269308	79801.8331588	0.0
HepG2_HNRNPUL1	ENCSR104ABF	80359	3452	1114	41	-0.223026271292	81516.9301129	0.0
HepG2_ADAR	ENCSR305XWT	83531	3478	631	35	0.413768693724	85682.1188395	0.0
K562_BCLAF1	ENCSR245BNJ	79886	3585	859	47	0.285972199887	81668.8528533	0.0
HepG2_BOP1	ENCSR264TUE	81711	3700	1462	62	-0.0945981532176	82390.1975022	0.0
