mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	90379	3233	2264	192	1.24534643969	88768.1157642	0.0
HepG2_SDAD1	ENCSR521WAI	82557	2710	734	14	-0.78325554118	83777.5981917	0.0
K562_RBM25	ENCSR344XID	74097	2145	1086	30	-0.0675522123907	74026.3365001	0.0
HepG2_HNRNPAB	ENCSR279HMU	84314	2998	711	27	0.0948816689026	85842.2388568	0.0
K562_TRA2A	ENCSR129RWD	80782	2811	716	22	-0.179505652744	82123.5183469	0.0
HepG2_EXOSC5	ENCSR521WAI	82130	2710	602	15	-0.405184539767	83610.4955913	0.0
K562_HNRNPL	ENCSR031RRO	82306	3007	1370	47	-0.0907704941284	82502.538546	0.0
K562_SUPV3L1	ENCSR661HEL	78073	2714	1372	47	-0.0211448332374	77973.924491	0.0
HepG2_SMNDC1	ENCSR491FOC	87200	3074	812	35	0.290086164621	88587.959788	0.0
K562_FASTKD2	ENCSR084SCN	78780	2526	613	17	-0.209377549727	80050.8842629	0.0
K562_GEMIN5	ENCSR661HEL	79242	2755	778	38	0.490442237619	80373.162562	0.0
HepG2_KHSRP	ENCSR237YZT	88659	3290	1061	30	-0.392210744188	89779.9707556	0.0
K562_RTF1	ENCSR815CVQ	81772	3004	735	29	0.103030764024	83254.886439	0.0
K562_EIF3D	ENCSR661HEL	78540	2711	1186	57	0.477532299335	78784.1077454	0.0
HepG2_ABCF1	ENCSR067GHD	87879	3282	1086	55	0.439422634776	88893.3423748	0.0
HepG2_CEBPZ	ENCSR067GHD	86810	3263	696	25	-0.0654969564141	88636.7717281	0.0
K562_EIF4A3	ENCSR913CAE	77985	2934	3741	60	-1.23006177513	73497.6856205	0.0
HepG2_HSPD1	ENCSR246RRQ	88836	3316	944	28	-0.331659604831	90218.267678	0.0
K562_HNRNPK	ENCSR129RWD	79041	2619	1475	37	-0.401532638781	78664.0479903	0.0
HepG2_ESF1	ENCSR067GHD	87237	3262	905	25	-0.436806321479	88648.5801051	0.0
HepG2_PUM1	ENCSR042QTH	88969	3149	1163	49	0.251411536843	89709.9651641	0.0
HepG2_SRSF9	ENCSR603TCV	86753	3172	1234	57	0.33721230716	87361.5770512	0.0
K562_SART3	ENCSR419JMU	81198	2934	1139	38	-0.115121101776	81794.469414	0.0
HepG2_CELF1	ENCSR042QTH	87613	3143	999	38	0.0845174209227	88693.8504487	0.0
HepG2_DDX3X	ENCSR237YZT	88418	3270	1213	43	-0.0611215201078	89193.2065007	0.0
K562_CPEB4	ENCSR031RRO	84009	3105	817	31	0.0378827627627	85426.2549471	0.0
HepG2_FTO	ENCSR264TUE	83004	2973	1515	46	-0.238350628405	82883.3637196	0.0
HepG2_DDX1	ENCSR305XWT	84956	2860	575	19	-0.0268618434567	86632.0179442	0.0
K562_GLRX3	ENCSR174OYC	82302	3079	812	27	-0.170054697878	83711.2480407	0.0
K562_FAM120A	ENCSR661HEL	78210	2652	595	18	-0.164620453722	79640.648767	0.0
K562_SLTM	ENCSR084SCN	78062	2450	625	23	0.229616348217	79221.2199536	0.0
K562_DROSHA	ENCSR164MUK	83375	3046	1305	37	-0.365753716469	83757.8755288	0.0
K562_NUSAP1	ENCSR572FFX	78194	2853	602	23	0.0664485378368	79801.8200967	0.0
HepG2_HNRNPUL1	ENCSR104ABF	81025	2786	1114	41	0.0981184397694	81516.9195851	0.0
HepG2_ADAR	ENCSR305XWT	84169	2840	641	25	0.209001785296	85682.1016895	0.0
K562_BCLAF1	ENCSR245BNJ	80629	2842	863	43	0.499368375046	81668.8875849	0.0
HepG2_BOP1	ENCSR264TUE	82402	3009	1473	51	-0.0767930309948	82390.1954303	0.0
HepG2_RBM22	ENCSR997HCQ	90077	3301	1456	73	0.4522136545	90345.1490685	0.0
HepG2_EIF3G	ENCSR003EKR	86585	3071	662	22	-0.0939190917298	88293.2190344	0.0
