mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	83723	9889	1923	533	1.23057613863	88772.8963939	0.0
HepG2_SDAD1	ENCSR521WAI	77010	8257	680	68	-0.100571908583	83777.5644247	0.0
K562_RBM25	ENCSR344XID	69742	6500	1007	109	0.215852470569	74026.3678507	0.0
HepG2_HNRNPAB	ENCSR279HMU	78282	9030	644	94	0.339554696101	85842.27649	0.0
K562_TRA2A	ENCSR129RWD	75150	8443	662	76	0.0311855915557	82123.5157072	0.0
HepG2_EXOSC5	ENCSR521WAI	76578	8262	559	58	-0.0563564614417	83610.4877237	0.0
K562_HNRNPL	ENCSR031RRO	76234	9079	1279	138	-0.142446822518	82502.555743	0.0
K562_SUPV3L1	ENCSR661HEL	72575	8212	1276	143	-0.0138741426937	77973.9245284	0.0
HepG2_SMNDC1	ENCSR491FOC	80944	9330	737	110	0.372814062498	88588.0073212	0.0
K562_FASTKD2	ENCSR084SCN	73702	7604	568	62	0.0813225230482	80050.8829351	0.0
K562_GEMIN5	ENCSR661HEL	73643	8354	725	91	0.145966805736	80373.1287357	0.0
HepG2_KHSRP	ENCSR237YZT	82005	9944	979	112	-0.0839964527905	89779.9490564	0.0
K562_RTF1	ENCSR815CVQ	75737	9039	689	75	-0.132778284865	83254.8903229	0.0
K562_EIF3D	ENCSR661HEL	73035	8216	1085	158	0.372381335405	78784.1571033	0.0
HepG2_ABCF1	ENCSR067GHD	81221	9940	1001	140	0.192591791167	88893.3085542	0.0
HepG2_CEBPZ	ENCSR067GHD	80222	9851	657	64	-0.334093714904	88636.7964765	0.0
K562_EIF4A3	ENCSR913CAE	72126	8793	3587	214	-1.03100300109	73500.5983983	0.0
HepG2_HSPD1	ENCSR246RRQ	82117	10035	881	91	-0.242563263336	90218.2771036	0.0
K562_HNRNPK	ENCSR129RWD	73796	7864	1385	127	-0.216778181642	78664.0446094	0.0
HepG2_ESF1	ENCSR067GHD	80659	9840	852	78	-0.414202102535	88648.6179579	0.0
HepG2_PUM1	ENCSR042QTH	82514	9604	1051	161	0.396301535036	89710.0858109	0.0
HepG2_SRSF9	ENCSR603TCV	80397	9528	1086	205	0.671568061882	87362.0803362	0.0
K562_SART3	ENCSR419JMU	75261	8871	1067	110	-0.193250937834	81794.4912057	0.0
HepG2_CELF1	ENCSR042QTH	81260	9496	917	120	0.16326619649	88693.8645574	0.0
HepG2_DDX3X	ENCSR237YZT	81825	9863	1101	155	0.223968910162	89193.2504269	0.0
K562_CPEB4	ENCSR031RRO	77734	9380	764	84	-0.134225477431	85426.2611281	0.0
HepG2_FTO	ENCSR264TUE	76991	8986	1426	135	-0.302003827108	82883.4400212	0.0
HepG2_DDX1	ENCSR305XWT	79132	8684	536	58	-0.0202786057115	86632.017971	0.0
K562_GLRX3	ENCSR174OYC	76099	9282	756	83	-0.151833099776	83711.2526164	0.0
K562_FAM120A	ENCSR661HEL	72843	8019	558	55	-0.159465501557	79640.6516824	0.0
K562_SLTM	ENCSR084SCN	73096	7416	575	73	0.323485724349	79221.2417428	0.0
K562_DROSHA	ENCSR164MUK	77193	9228	1220	122	-0.257547976776	83757.8944583	0.0
K562_NUSAP1	ENCSR572FFX	72411	8636	565	60	-0.16744273551	79801.8253749	0.0
HepG2_HNRNPUL1	ENCSR104ABF	75423	8388	1043	112	-0.0505627512334	81516.9187756	0.0
HepG2_ADAR	ENCSR305XWT	78411	8598	598	68	0.0524442107069	85682.0984351	0.0
K562_BCLAF1	ENCSR245BNJ	74869	8602	795	111	0.281229264769	81668.8740862	0.0
HepG2_BOP1	ENCSR264TUE	76368	9043	1381	143	-0.193531394784	82390.2346074	0.0
HepG2_RBM22	ENCSR997HCQ	83329	10049	1306	223	0.501727442818	90345.417348	0.0
HepG2_EIF3G	ENCSR003EKR	80354	9302	603	81	0.214592808659	88293.2304212	0.0
K562_PUF60	ENCSR620PUP	80159	9786	2481	237	-0.35388944815	84591.5291238	0.0
HepG2_SF1	ENCSR104ABF	75933	8611	1472	170	0.0263032947092	81291.8916444	0.0
K562_FXR2	ENCSR081EST	67979	5770	411	44	0.33488295035	72841.8204283	0.0
K562_TAF15	ENCSR942UNX	70281	6744	487	55	0.235040029068	75944.8231289	0.0
HepG2_RCC2	ENCSR674KEK	81183	9432	963	127	0.182834729222	88448.1332217	0.0
HepG2_SRSF5	ENCSR042QTH	84170	9878	492	81	0.488350741053	92905.5400973	0.0
K562_NFX1	ENCSR815CVQ	75288	9016	575	72	0.0643673700031	83014.9664479	0.0
HepG2_AARS	ENCSR856ZRV	81465	9579	463	52	-0.0661952598777	90016.9137087	0.0
HepG2_EXOSC9	ENCSR003EKR	80003	9296	653	59	-0.36292400599	87880.7043748	0.0
K562_QKI	ENCSR344XID	72240	7006	589	61	0.0947485132986	77951.3334556	0.0
K562_SUGP2	ENCSR164MUK	75761	8871	1628	157	-0.279977511021	81099.762092	0.0
HepG2_EIF3D	ENCSR689PHN	78275	9157	645	79	0.0662300735625	85989.9964705	0.0
K562_RAVER1	ENCSR344XID	69082	5882	827	89	0.33792107354	73143.2468998	0.0
HepG2_DAZAP1	ENCSR042QTH	84001	9840	495	65	0.164759380114	92724.3462995	0.0
HepG2_HNRNPM	ENCSR067GHD	79357	9669	941	108	-0.0862445174653	86940.364526	0.0
K562_CCAR2	ENCSR620PUP	81998	10057	676	103	0.313009798687	90503.6279011	0.0
HepG2_EEF2	ENCSR689PHN	78625	9332	1063	131	0.0542270195635	85585.2105661	0.0
HepG2_BCCIP	ENCSR856ZRV	80258	9544	667	94	0.24502515748	88286.4690528	0.0
K562_MATR3	ENCSR129RWD	75231	8411	849	75	-0.339824026279	81804.2499371	0.0
HepG2_HNRNPF	ENCSR105NML	84230	10149	455	69	0.331798304829	93333.9269638	0.0
K562_EIF3A	ENCSR667PLJ	68683	8155	1304	176	0.18489973845	73906.5558568	0.0
HepG2_TARDBP	ENCSR264TUE	78102	9309	1130	99	-0.444089047214	84970.4019853	0.0
K562_SSB	ENCSR084SCN	73232	7432	697	64	-0.14436305565	79149.1849652	0.0
HepG2_NUSAP1	ENCSR674KEK	81484	9477	626	106	0.541916067776	89502.9948459	0.0
K562_ATP5C1	ENCSR143COQ	77678	9530	1104	118	-0.198923470954	84781.1516906	0.0
HepG2_SRSF5	ENCSR491FOC	82862	9598	363	59	0.488722235569	91617.952902	0.0
K562_MBNL1	ENCSR143COQ	78566	9690	1273	127	-0.305995476971	85478.2908391	0.0
K562_NONO	ENCSR661HEL	73195	8337	718	109	0.414489150982	79886.4682516	0.0
HepG2_CIRBP	ENCSR237YZT	80492	9386	890	147	0.502273856186	87816.1429882	0.0
K562_MAGOH	ENCSR129RWD	74622	8313	1524	123	-0.464972771386	79673.9444683	0.0
HepG2_BUD13	ENCSR067GHD	80615	9871	627	80	0.0593866153905	89077.5249874	0.0
K562_AGO2	ENCSR898NWE	71093	6978	1011	96	-0.047782768461	75872.6979605	0.0
K562_NCBP2	ENCSR913CAE	74686	8854	803	90	-0.0809665266747	81763.5484401	0.0
K562_SBDS	ENCSR419JMU	75392	8943	986	94	-0.315274321582	82188.8832497	0.0
HepG2_TAF15	ENCSR603TCV	80904	9179	1131	142	0.146166044802	87555.0076034	0.0
K562_SMN1	ENCSR419JMU	74972	8836	953	104	-0.11100612068	81707.3380592	0.0
HepG2_SRSF4	ENCSR853AOV	80175	9728	853	86	-0.267199861843	88034.83554	0.0
HepG2_SRSF7	ENCSR603TCV	82539	9990	763	87	-0.0860763746151	90836.8109173	0.0
K562_METAP2	ENCSR424QCW	71280	7893	1003	99	-0.16589758801	76984.3552152	0.0
HepG2_SUB1	ENCSR491FOC	79708	8728	625	83	0.278328574523	87025.6899989	0.0
K562_PAPOLA	ENCSR942UNX	68398	6539	683	72	0.140995445184	73434.6129958	0.0
K562_TBRG4	ENCSR344XID	71134	6339	590	59	0.166284023312	76180.4427214	0.0
K562_SAFB	ENCSR341TTW	72312	8429	1037	124	0.0367978224129	78435.695417	0.0
HepG2_PABPC1	ENCSR279HMU	77969	9050	1004	149	0.354535900409	84728.3815694	0.0
HepG2_FUBP3	ENCSR376RJN	77880	9495	854	111	0.0923365853004	85455.6622426	0.0
HepG2_ATP5C1	ENCSR067GHD	81296	9990	725	76	-0.229281885341	89691.0437484	0.0
K562_TRIM56	ENCSR572FFX	72067	8595	931	94	-0.240279260509	78625.0551948	0.0
HepG2_PUS1	ENCSR538QOG	82604	10107	810	93	-0.0917624768376	90913.7984582	0.0
HepG2_NONO	ENCSR856ZRV	81042	9521	798	144	0.619164829153	88689.0356259	0.0
K562_TARDBP	ENCSR129RWD	76309	8505	851	101	0.0906662408156	82920.6897868	0.0
HepG2_PPIG	ENCSR246RRQ	82061	10037	752	93	0.0159385738363	90415.7529755	0.0
HepG2_EIF4G1	ENCSR042QTH	81937	9370	773	75	-0.23711179475	89618.892862	0.0
HepG2_SND1	ENCSR491FOC	81144	9362	611	110	0.641926895609	89069.893181	0.0
HepG2_FIP1L1	ENCSR067GHD	80778	9918	1111	142	0.0579453141357	88207.3134817	0.0
HepG2_XPO5	ENCSR279HMU	78163	9078	869	133	0.398109516224	85248.6099185	0.0
K562_SDAD1	ENCSR341TTW	73823	8542	717	80	-0.0524766502641	80778.7130444	0.0
K562_RECQL	ENCSR942UNX	71309	7333	400	38	-0.114319948277	77768.4406741	0.0
K562_PA2G4	ENCSR661HEL	73568	8299	640	66	-0.129465016781	80461.0925206	0.0
HepG2_PA2G4	ENCSR689PHN	74744	8850	969	92	-0.318582486612	81485.5187437	0.0
HepG2_DDX59	ENCSR264TUE	79013	9276	1118	135	0.0406264383827	85800.7839674	0.0
K562_RPS3	ENCSR772DUM	71037	7901	1714	148	-0.365234539174	75258.1281641	0.0
HepG2_HLTF	ENCSR491FOC	80134	8317	638	91	0.458661381923	86999.0752133	0.0
K562_UBE2L3	ENCSR620PUP	82645	10066	854	118	0.181987826294	90777.2079543	0.0
HepG2_DROSHA	ENCSR481WJH	67327	6822	931	78	-0.274316617038	72144.7657196	0.0
K562_DDX51	ENCSR661HEL	73835	8369	614	85	0.288473797234	80811.9692304	0.0
HepG2_HNRNPF	ENCSR305XWT	80784	8974	569	99	0.647318271148	88427.0998918	0.0
HepG2_SF3B1	ENCSR264TUE	77329	8789	1917	357	0.712384266929	81632.0237464	0.0
HepG2_RPLP0	ENCSR674KEK	82092	9493	633	81	0.146093961045	90162.5721158	0.0
K562_CELF1	ENCSR620PUP	82295	9991	640	89	0.195909125698	90833.7700296	0.0
HepG2_GRSF1	ENCSR279HMU	79306	9098	775	91	0.0335508193489	86680.4837128	0.0
K562_HNRNPF	ENCSR572FFX	74797	8833	452	78	0.547228246694	82573.4202272	0.0
