File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF595BWN	fastq	reads	ENCSR165VBD	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/UTP18-human/				UTP18-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-06-13	ENCODE				1	1	100		paired-ended	1	ENCFF279NUI		3761093234	Brenton Graveley, UConn	c17ae0d340738d11e67e3cbd3878f04e	SRA:SRR4421413	https://www.encodeproject.org/files/ENCFF595BWN/@@download/ENCFF595BWN.fastq.gz			Illumina HiSeq 2500	/files/ENCFF160WAF/, /files/ENCFF496RXN/	released	s3://encode-public/2016/05/26/9c8c25f7-2b3f-4b79-90e1-d0a1fead3d2a/ENCFF595BWN.fastq.gz				
ENCFF565DLY	fastq	reads	ENCSR165VBD	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/UTP18-human/				UTP18-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-06-13	ENCODE				2	1	100		paired-ended	1	ENCFF455LAT		3681158749	Brenton Graveley, UConn	d610a6e602914239fc14232836dc3cc9	SRA:SRR4421412	https://www.encodeproject.org/files/ENCFF565DLY/@@download/ENCFF565DLY.fastq.gz			Illumina HiSeq 2500	/files/ENCFF160WAF/, /files/ENCFF496RXN/	released	s3://encode-public/2016/05/26/becd2fa8-dc8e-4183-ae1d-9f65b0e1ba5e/ENCFF565DLY.fastq.gz				
ENCFF279NUI	fastq	reads	ENCSR165VBD	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/UTP18-human/				UTP18-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-06-13	ENCODE				1	1	100		paired-ended	2	ENCFF595BWN		3792012602	Brenton Graveley, UConn	146bda28ec0d0900840bf32f5d41e1f9	SRA:SRR4421413	https://www.encodeproject.org/files/ENCFF279NUI/@@download/ENCFF279NUI.fastq.gz			Illumina HiSeq 2500	/files/ENCFF682YLE/, /files/ENCFF865MIT/	released	s3://encode-public/2016/05/26/74efb23b-1521-4f7f-8558-0ef9894595f0/ENCFF279NUI.fastq.gz				
ENCFF455LAT	fastq	reads	ENCSR165VBD	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/UTP18-human/				UTP18-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-06-13	ENCODE				2	1	100		paired-ended	2	ENCFF565DLY		3679504623	Brenton Graveley, UConn	64f56af0748c157048b89a9564460779	SRA:SRR4421412	https://www.encodeproject.org/files/ENCFF455LAT/@@download/ENCFF455LAT.fastq.gz			Illumina HiSeq 2500	/files/ENCFF682YLE/, /files/ENCFF865MIT/	released	s3://encode-public/2016/05/26/981cfeb6-9da2-490c-b478-df8c24a35948/ENCFF455LAT.fastq.gz				
ENCFF281GKZ	fastq	reads	ENCSR074UZM	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/G3BP1-human/				G3BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-10-16	ENCODE				1	1	100		paired-ended	1	ENCFF826MUD		2747198537	Brenton Graveley, UConn	51d685c6df9daf616ba9e7ed3645c05b	SRA:SRR3469409	https://www.encodeproject.org/files/ENCFF281GKZ/@@download/ENCFF281GKZ.fastq.gz			Illumina HiSeq 2000	/files/ENCFF801YDB/	released	s3://encode-public/2014/09/29/084150b2-bc3c-429f-81e9-63a291f73fef/ENCFF281GKZ.fastq.gz				
ENCFF358XGE	fastq	reads	ENCSR074UZM	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/G3BP1-human/				G3BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-10-16	ENCODE				2	1	100		paired-ended	1	ENCFF928RWG		2720404489	Brenton Graveley, UConn	3d25a5ee55169c5a8f39be311eb76f94	SRA:SRR3469408	https://www.encodeproject.org/files/ENCFF358XGE/@@download/ENCFF358XGE.fastq.gz			Illumina HiSeq 2000	/files/ENCFF619LUS/	released	s3://encode-public/2014/09/29/0c0932b3-eec9-4803-b0c4-1d2cdfcdc830/ENCFF358XGE.fastq.gz				
ENCFF826MUD	fastq	reads	ENCSR074UZM	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/G3BP1-human/				G3BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-10-16	ENCODE				1	1	100		paired-ended	2	ENCFF281GKZ		2814012273	Brenton Graveley, UConn	6347e56d0912afdf49446a77026551a0	SRA:SRR3469409	https://www.encodeproject.org/files/ENCFF826MUD/@@download/ENCFF826MUD.fastq.gz			Illumina HiSeq 2000	/files/ENCFF794CUL/	released	s3://encode-public/2014/09/29/58f2b1f6-093e-4fc0-a93f-b24ca166eb55/ENCFF826MUD.fastq.gz				
ENCFF928RWG	fastq	reads	ENCSR074UZM	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/G3BP1-human/				G3BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-10-16	ENCODE				2	1	100		paired-ended	2	ENCFF358XGE		2785579346	Brenton Graveley, UConn	f2c3299bcd593f9a7567adb7f2c0f1e6	SRA:SRR3469408	https://www.encodeproject.org/files/ENCFF928RWG/@@download/ENCFF928RWG.fastq.gz			Illumina HiSeq 2000	/files/ENCFF200OMG/	released	s3://encode-public/2014/09/29/7319933c-ffd0-4c11-96e3-78d8a86d3dfa/ENCFF928RWG.fastq.gz				
ENCFF959BUP	fastq	reads	ENCSR300QFQ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/TRIM56-human/				TRIM56-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	1	ENCFF760FBT		2037389849	Brenton Graveley, UConn	54834189b806609b9d20a8000f3de6bb	SRA:SRR4421609	https://www.encodeproject.org/files/ENCFF959BUP/@@download/ENCFF959BUP.fastq.gz			Illumina HiSeq 2000	/files/ENCFF029QIY/, /files/ENCFF561XEM/	released	s3://encode-public/2015/08/14/8326e8ce-4576-4656-ab51-3107639c9971/ENCFF959BUP.fastq.gz				
ENCFF915WOP	fastq	reads	ENCSR300QFQ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/TRIM56-human/				TRIM56-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	1	ENCFF711JIW		2769856977	Brenton Graveley, UConn	9165458381cae7a28e6c08cdfd88d750	SRA:SRR4421608	https://www.encodeproject.org/files/ENCFF915WOP/@@download/ENCFF915WOP.fastq.gz			Illumina HiSeq 2000	/files/ENCFF029QIY/, /files/ENCFF561XEM/	released	s3://encode-public/2015/08/14/c10378ce-e8b9-42f3-8948-a5b279cf7926/ENCFF915WOP.fastq.gz				
