mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	88880	4732	2183	273	1.23199756387	88769.367113	0.0
HepG2_SDAD1	ENCSR521WAI	81316	3951	709	39	0.179009899783	83777.5667874	0.0
K562_RBM25	ENCSR344XID	73228	3014	1066	50	0.18850853852	74026.3475157	0.0
HepG2_HNRNPAB	ENCSR279HMU	83030	4282	691	47	0.399322948735	85842.266585	0.0
K562_TRA2A	ENCSR129RWD	79637	3956	697	41	0.243861701955	82123.5252167	0.0
HepG2_EXOSC5	ENCSR521WAI	80886	3954	581	36	0.342035889984	83610.5010626	0.0
K562_HNRNPL	ENCSR031RRO	81010	4303	1340	77	0.113454517453	82502.5430407	0.0
K562_SUPV3L1	ENCSR661HEL	76917	3870	1353	66	-0.0446549818772	77973.9253786	0.0
HepG2_SMNDC1	ENCSR491FOC	85795	4479	800	47	0.170377662734	88587.9528326	0.0
K562_FASTKD2	ENCSR084SCN	77760	3546	596	34	0.323058098383	80050.8941081	0.0
K562_GEMIN5	ENCSR661HEL	78073	3924	773	43	0.146366911235	80373.1246682	0.0
HepG2_KHSRP	ENCSR237YZT	87197	4752	1025	66	0.240657683859	89779.965533	0.0
K562_RTF1	ENCSR815CVQ	80502	4274	728	36	-0.10250382573	83254.8867174	0.0
K562_EIF3D	ENCSR661HEL	77389	3862	1162	81	0.482164097699	78784.1463532	0.0
HepG2_ABCF1	ENCSR067GHD	86379	4782	1080	61	0.0289163200727	88893.2814084	0.0
HepG2_CEBPZ	ENCSR067GHD	85336	4737	696	25	-0.627978395199	88636.8085127	0.0
K562_EIF4A3	ENCSR913CAE	76765	4154	3684	117	-0.768817064927	73497.0928247	0.0
HepG2_HSPD1	ENCSR246RRQ	87347	4805	921	51	0.00951781328892	90218.2524747	0.0
K562_HNRNPK	ENCSR129RWD	77986	3674	1452	60	-0.189143518479	78664.0142493	0.0
HepG2_ESF1	ENCSR067GHD	85776	4723	891	39	-0.331080803048	88648.5773223	0.0
HepG2_PUM1	ENCSR042QTH	87535	4583	1125	87	0.562729998496	89710.1100406	0.0
HepG2_SRSF9	ENCSR603TCV	85416	4509	1165	126	1.03479260755	87362.4105455	0.0
K562_SART3	ENCSR419JMU	79951	4181	1113	64	0.136958252722	81794.4737726	0.0
HepG2_CELF1	ENCSR042QTH	86248	4508	971	66	0.378998215909	88693.8980255	0.0
HepG2_DDX3X	ENCSR237YZT	86987	4701	1168	88	0.479367283846	89193.3303882	0.0
K562_CPEB4	ENCSR031RRO	82660	4454	803	45	0.0566128192865	85426.2553855	0.0
HepG2_FTO	ENCSR264TUE	81684	4293	1489	72	-0.120207599473	82883.3502067	0.0
HepG2_DDX1	ENCSR305XWT	83692	4124	561	33	0.255510645117	86632.024531	0.0
K562_GLRX3	ENCSR174OYC	80989	4392	791	48	0.162204629937	83711.2500961	0.0
K562_FAM120A	ENCSR661HEL	77100	3762	588	25	-0.198657048895	79640.650493	0.0
K562_SLTM	ENCSR084SCN	77054	3458	605	43	0.663333499806	79221.2849422	0.0
K562_DROSHA	ENCSR164MUK	82047	4374	1275	67	-0.0207668833741	83757.8396304	0.0
K562_NUSAP1	ENCSR572FFX	76974	4073	592	33	0.0751482540395	79801.8203884	0.0
HepG2_HNRNPUL1	ENCSR104ABF	79828	3983	1098	57	0.0571951567909	81516.9182372	0.0
HepG2_ADAR	ENCSR305XWT	82917	4092	630	36	0.211506852449	85682.10343	0.0
K562_BCLAF1	ENCSR245BNJ	79428	4043	853	53	0.287668091163	81668.855392	0.0
HepG2_BOP1	ENCSR264TUE	81071	4340	1458	66	-0.241961894119	82390.2247028	0.0
HepG2_RBM22	ENCSR997HCQ	88565	4813	1416	113	0.554301756709	90345.2923953	0.0
HepG2_EIF3G	ENCSR003EKR	85232	4424	634	50	0.603489054962	88293.2811216	0.0
K562_PUF60	ENCSR620PUP	85323	4622	2583	135	-0.051670803525	84591.1387665	0.0
HepG2_SF1	ENCSR104ABF	80471	4073	1557	85	0.109142948545	81291.8996239	0.0
K562_FXR2	ENCSR081EST	71096	2653	432	23	0.512746266498	72841.8243547	0.0
K562_TAF15	ENCSR942UNX	73885	3140	511	31	0.513461865962	75944.8402054	0.0
HepG2_RCC2	ENCSR674KEK	86121	4494	1029	61	0.184003112595	88448.122799	0.0
HepG2_SRSF5	ENCSR042QTH	89330	4718	525	48	0.791686326418	92905.5738121	0.0
K562_NFX1	ENCSR815CVQ	80043	4261	609	38	0.229140379166	83014.9724096	0.0
HepG2_AARS	ENCSR856ZRV	86469	4575	487	28	0.119916316328	90016.9141872	0.0
HepG2_EXOSC9	ENCSR003EKR	84863	4436	683	29	-0.299956363395	87880.6865509	0.0
K562_QKI	ENCSR344XID	75998	3248	611	39	0.578711563805	77951.3805359	0.0
K562_SUGP2	ENCSR164MUK	80441	4191	1703	82	-0.113746125065	81099.6582559	0.0
HepG2_EIF3D	ENCSR689PHN	83080	4352	687	37	0.0400378312925	85989.9954659	0.0
K562_RAVER1	ENCSR344XID	72282	2682	860	56	0.811417355383	73143.401423	0.0
HepG2_DAZAP1	ENCSR042QTH	89128	4713	524	36	0.377663146143	92724.355677	0.0
HepG2_HNRNPM	ENCSR067GHD	84396	4630	995	54	-0.0155746887261	86940.3605156	0.0
K562_CCAR2	ENCSR620PUP	87274	4781	732	47	0.229056623828	90503.6015977	0.0
HepG2_EEF2	ENCSR689PHN	83504	4453	1127	67	0.156813180463	85585.2184815	0.0
HepG2_BCCIP	ENCSR856ZRV	85252	4550	713	48	0.334999463811	88286.4695065	0.0
K562_MATR3	ENCSR129RWD	79699	3943	880	44	0.0152679120876	81804.2075553	0.0
HepG2_HNRNPF	ENCSR105NML	89515	4864	487	37	0.483589724235	93333.9309445	0.0
K562_EIF3A	ENCSR667PLJ	72981	3857	1382	98	0.424137811796	73906.660172	0.0
HepG2_TARDBP	ENCSR264TUE	82952	4459	1177	52	-0.282974226209	84970.3067829	0.0
K562_SSB	ENCSR084SCN	77196	3468	726	35	0.101807569795	79149.1809926	0.0
HepG2_NUSAP1	ENCSR674KEK	86437	4524	680	52	0.547026948494	89502.9472621	0.0
K562_ATP5C1	ENCSR143COQ	82711	4497	1147	75	0.266213436137	84781.1569286	0.0
HepG2_SRSF5	ENCSR491FOC	87837	4623	402	20	-0.081196082848	91617.9263408	0.0
K562_MBNL1	ENCSR143COQ	83660	4596	1317	83	0.198087095976	85478.2315083	0.0
K562_NONO	ENCSR661HEL	77612	3920	776	51	0.379866672667	79886.4223206	0.0
HepG2_CIRBP	ENCSR237YZT	85385	4493	967	70	0.460142617315	87816.0420288	0.0
