mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	90758	2854	2279	177	1.30438791812	88768.2045878	0.0
HepG2_SDAD1	ENCSR521WAI	82867	2400	723	25	0.255695735701	83777.5684645	0.0
K562_RBM25	ENCSR344XID	74400	1842	1084	32	0.253808613438	74026.3496809	0.0
HepG2_HNRNPAB	ENCSR279HMU	84722	2590	710	28	0.367392351526	85842.2527511	0.0
K562_TRA2A	ENCSR129RWD	81181	2412	712	26	0.297546586308	82123.5248792	0.0
HepG2_EXOSC5	ENCSR521WAI	82438	2402	595	22	0.343687208859	83610.4959382	0.0
K562_HNRNPL	ENCSR031RRO	82688	2625	1367	50	0.204347309422	82502.5516578	0.0
K562_SUPV3L1	ENCSR661HEL	78432	2355	1377	42	0.0226480030105	77973.9244959	0.0
HepG2_SMNDC1	ENCSR491FOC	87564	2710	814	33	0.389482237994	88587.968836	0.0
K562_FASTKD2	ENCSR084SCN	79144	2162	609	21	0.336060558782	80050.8901321	0.0
K562_GEMIN5	ENCSR661HEL	79609	2388	789	27	0.190062810769	80373.1250078	0.0
HepG2_KHSRP	ENCSR237YZT	89058	2891	1050	41	0.266483091282	89779.9610326	0.0
K562_RTF1	ENCSR815CVQ	82165	2611	740	24	0.029430654323	83254.8852434	0.0
K562_EIF3D	ENCSR661HEL	78909	2342	1178	65	0.894620865074	78784.3898911	0.0
HepG2_ABCF1	ENCSR067GHD	88265	2896	1096	45	0.323528980669	88893.3084399	0.0
HepG2_CEBPZ	ENCSR067GHD	87198	2875	704	17	-0.44930759327	88636.7843218	0.0
K562_EIF4A3	ENCSR913CAE	78393	2526	3730	71	-0.759414503344	73496.4719506	0.0
HepG2_HSPD1	ENCSR246RRQ	89245	2907	938	34	0.154187095774	90218.2564092	0.0
K562_HNRNPK	ENCSR129RWD	79434	2226	1471	41	-0.00779837056041	78663.995907	0.0
HepG2_ESF1	ENCSR067GHD	87627	2872	907	23	-0.370148971152	88648.5722689	0.0
HepG2_PUM1	ENCSR042QTH	89345	2773	1159	53	0.55912307628	89710.0477464	0.0
HepG2_SRSF9	ENCSR603TCV	87199	2726	1212	79	1.06006088769	87362.1353163	0.0
K562_SART3	ENCSR419JMU	81577	2555	1135	42	0.240608097218	81794.4819331	0.0
HepG2_CELF1	ENCSR042QTH	88024	2732	995	42	0.443632250997	88693.8928975	0.0
HepG2_DDX3X	ENCSR237YZT	88830	2858	1196	60	0.640858091101	89193.3624703	0.0
K562_CPEB4	ENCSR031RRO	84403	2711	817	31	0.240401302603	85426.2628381	0.0
HepG2_FTO	ENCSR264TUE	83374	2603	1514	47	-0.00821030265795	82883.3415716	0.0
HepG2_DDX1	ENCSR305XWT	85338	2478	573	21	0.33586630105	86632.0253612	0.0
K562_GLRX3	ENCSR174OYC	82699	2682	812	27	0.0360403269924	83711.2446292	0.0
K562_FAM120A	ENCSR661HEL	78570	2292	599	14	-0.319757659529	79640.652156	0.0
K562_SLTM	ENCSR084SCN	78399	2113	621	27	0.689908624058	79221.2639601	0.0
K562_DROSHA	ENCSR164MUK	83753	2668	1302	40	-0.0522753417529	83757.8402169	0.0
K562_NUSAP1	ENCSR572FFX	78549	2498	602	23	0.264689806059	79801.825501	0.0
HepG2_HNRNPUL1	ENCSR104ABF	81396	2415	1113	42	0.346942349908	81516.949475	0.0
HepG2_ADAR	ENCSR305XWT	84540	2469	644	22	0.226150111298	85682.1018269	0.0
K562_BCLAF1	ENCSR245BNJ	81001	2470	875	31	0.216413875682	81668.8411126	0.0
HepG2_BOP1	ENCSR264TUE	82779	2632	1481	43	-0.131057744372	82390.1990949	0.0
HepG2_RBM22	ENCSR997HCQ	90456	2922	1459	70	0.570706966609	90345.209712	0.0
HepG2_EIF3G	ENCSR003EKR	86979	2677	654	30	0.575721848211	88293.2536601	0.0
K562_PUF60	ENCSR620PUP	87139	2806	2626	92	0.121642398192	84591.1528995	0.0
HepG2_SF1	ENCSR104ABF	82084	2460	1585	57	0.262993704469	81291.9262699	0.0
K562_FXR2	ENCSR081EST	72117	1632	441	14	0.488346497327	72841.8168408	0.0
K562_TAF15	ENCSR942UNX	75089	1936	522	20	0.571472819333	75944.8354254	0.0
HepG2_RCC2	ENCSR674KEK	87902	2713	1050	40	0.303689520422	88448.1321298	0.0
HepG2_SRSF5	ENCSR042QTH	91185	2863	546	27	0.655327305299	92905.5239815	0.0
K562_NFX1	ENCSR815CVQ	81712	2592	620	27	0.457173437717	83014.9855774	0.0
HepG2_AARS	ENCSR856ZRV	88271	2773	496	19	0.286151223313	90016.9172374	0.0
HepG2_EXOSC9	ENCSR003EKR	86620	2679	692	20	-0.0977664466368	87880.6776401	0.0
K562_QKI	ENCSR344XID	77261	1985	625	25	0.63867324844	77951.3707758	0.0
K562_SUGP2	ENCSR164MUK	82089	2543	1734	51	-0.0748772958724	81099.650809	0.0
HepG2_EIF3D	ENCSR689PHN	84795	2637	697	27	0.316882377694	85990.005668	0.0
K562_RAVER1	ENCSR344XID	73319	1645	884	32	0.690125060587	73143.2807938	0.0
HepG2_DAZAP1	ENCSR042QTH	90977	2864	542	18	0.0771744243885	92724.3421204	0.0
HepG2_HNRNPM	ENCSR067GHD	86209	2817	1016	33	-0.00868354537514	86940.3604589	0.0
K562_CCAR2	ENCSR620PUP	89152	2903	750	29	0.247884895719	90503.5991493	0.0
HepG2_EEF2	ENCSR689PHN	85250	2707	1156	38	0.0499348724142	85585.2089274	0.0
HepG2_BCCIP	ENCSR856ZRV	87054	2748	726	35	0.610913958741	88286.5003656	0.0
K562_MATR3	ENCSR129RWD	81238	2404	898	26	-0.0314859954295	81804.2076364	0.0
HepG2_HNRNPF	ENCSR105NML	91435	2944	499	25	0.637857121801	93333.9355532	0.0
K562_EIF3A	ENCSR667PLJ	74475	2363	1420	60	0.413280065267	73906.5983444	0.0
HepG2_TARDBP	ENCSR264TUE	84696	2715	1194	35	-0.129034371511	84970.2835858	0.0
K562_SSB	ENCSR084SCN	78544	2120	738	23	0.207449851912	79149.1837817	0.0
HepG2_NUSAP1	ENCSR674KEK	88220	2741	697	35	0.69259969823	89502.953707	0.0
K562_ATP5C1	ENCSR143COQ	84476	2732	1172	50	0.399611470267	84781.1751307	0.0
HepG2_SRSF5	ENCSR491FOC	89665	2795	406	16	0.33828884544	91617.929946	0.0
K562_MBNL1	ENCSR143COQ	85460	2796	1346	54	0.294237858746	85478.2424972	0.0
K562_NONO	ENCSR661HEL	79153	2379	790	37	0.639961377076	79886.4601814	0.0
HepG2_CIRBP	ENCSR237YZT	87135	2743	990	47	0.592729939991	87816.053386	0.0
K562_MAGOH	ENCSR129RWD	80553	2382	1612	35	-0.445660010308	79673.7730847	0.0
HepG2_BUD13	ENCSR067GHD	87607	2879	681	26	0.216335185186	89077.5284561	0.0
K562_AGO2	ENCSR898NWE	76092	1979	1073	34	0.284929745673	75872.714883	0.0
K562_NCBP2	ENCSR913CAE	81003	2537	860	33	0.292981185412	81763.5597732	0.0
K562_SBDS	ENCSR419JMU	81760	2575	1050	30	-0.140532158078	82188.8341036	0.0
HepG2_TAF15	ENCSR603TCV	87450	2633	1219	54	0.557084049194	87555.0996032	0.0
K562_SMN1	ENCSR419JMU	81253	2555	1021	36	0.165183735074	81707.3368101	0.0
HepG2_SRSF4	ENCSR853AOV	87061	2842	914	25	-0.255146033673	88034.8154405	0.0
HepG2_SRSF7	ENCSR603TCV	89636	2893	820	30	0.180850537846	90836.8125461	0.0
K562_METAP2	ENCSR424QCW	76841	2332	1076	26	-0.328786043872	76984.3570446	0.0
HepG2_SUB1	ENCSR491FOC	85922	2514	674	34	0.785829080417	87025.7468993	0.0
K562_PAPOLA	ENCSR942UNX	73048	1889	728	27	0.520243028776	73434.6412027	0.0
K562_TBRG4	ENCSR344XID	75682	1791	626	23	0.634656081052	76180.4732944	0.0
K562_SAFB	ENCSR341TTW	78293	2448	1127	34	-0.0516010968825	78435.694988	0.0
HepG2_PABPC1	ENCSR279HMU	84429	2590	1101	52	0.622555588091	84728.4016532	0.0
HepG2_FUBP3	ENCSR376RJN	84632	2743	931	34	0.17220221681	85455.6629644	0.0
HepG2_ATP5C1	ENCSR067GHD	88373	2913	775	26	0.0254152715485	89691.0285395	0.0
K562_TRIM56	ENCSR572FFX	78208	2454	980	45	0.549324193483	78625.105257	0.0
HepG2_PUS1	ENCSR538QOG	89773	2938	870	33	0.212897834907	90913.8019258	0.0
HepG2_NONO	ENCSR856ZRV	87817	2746	895	47	0.747941698958	88688.9259683	0.0
K562_TARDBP	ENCSR129RWD	82384	2430	916	36	0.41405716965	82920.7180294	0.0
HepG2_PPIG	ENCSR246RRQ	89191	2907	810	35	0.406800081987	90415.77752	0.0
HepG2_EIF4G1	ENCSR042QTH	88603	2704	820	28	0.162063313492	89618.8788487	0.0
HepG2_SND1	ENCSR491FOC	87786	2720	684	37	0.803913173084	89069.8328147	0.0
HepG2_FIP1L1	ENCSR067GHD	87798	2898	1206	47	0.239633235944	88207.3279575	0.0
HepG2_XPO5	ENCSR279HMU	84635	2606	955	47	0.676577339302	85248.6236385	0.0
K562_SDAD1	ENCSR341TTW	79893	2472	776	21	-0.193276963955	80778.7156792	0.0
K562_RECQL	ENCSR942UNX	76533	2109	421	17	0.551237370591	77768.4529086	0.0
K562_PA2G4	ENCSR661HEL	79501	2366	683	23	0.178271216367	80461.0912965	0.0
HepG2_PA2G4	ENCSR689PHN	81023	2571	1030	31	-0.076302322973	81485.4675974	0.0
HepG2_DDX59	ENCSR264TUE	85598	2691	1202	51	0.432566953574	85800.845501	0.0
K562_RPS3	ENCSR772DUM	76654	2284	1814	48	-0.171269718289	75257.9366664	0.0
HepG2_HLTF	ENCSR491FOC	86087	2364	701	28	0.540577740075	86999.0398318	0.0
K562_UBE2L3	ENCSR620PUP	89815	2896	934	38	0.335471675737	90777.2114284	0.0
HepG2_DROSHA	ENCSR481WJH	72170	1979	977	32	0.256340985297	72144.7435519	0.0
K562_DDX51	ENCSR661HEL	79823	2381	670	29	0.537128684958	80811.9769054	0.0
HepG2_HNRNPF	ENCSR305XWT	87190	2568	630	38	1.03416506632	88427.1144328	0.0
HepG2_SF3B1	ENCSR264TUE	83579	2539	2145	129	0.985273520248	81631.6041677	0.0
HepG2_RPLP0	ENCSR674KEK	88839	2746	690	24	0.170299572001	90162.5688925	0.0
K562_CELF1	ENCSR620PUP	89395	2891	707	22	-0.0555811585897	90833.758881	0.0
HepG2_GRSF1	ENCSR279HMU	85801	2603	835	31	0.291311168425	86680.4952602	0.0
K562_HNRNPF	ENCSR572FFX	81095	2535	500	30	0.940661624866	82573.4378337	0.0
K562_TAF15	ENCSR344XID	77233	1903	455	16	0.51314720998	78196.8150496	0.0
K562_DDX21	ENCSR163JUC	85343	2745	471	15	-0.0142978829144	87118.681372	0.0
K562_ZC3H8	ENCSR718EWL	86629	2816	1040	40	0.242691106436	87298.0536082	0.0
K562_SUPT6H	ENCSR164MUK	81952	2578	1778	48	-0.220622118873	80917.4685403	0.0
K562_AUH	ENCSR718EWL	87412	2846	591	11	-0.806758920689	89058.0383173	0.0
K562_DDX52	ENCSR661HEL	79686	2388	578	20	0.207453950662	80882.3600098	0.0
HepG2_LSM11	ENCSR674KEK	87932	2651	766	30	0.377469721367	88998.0123326	0.0
HepG2_PCBP2	ENCSR491FOC	86962	2615	1166	57	0.701040210022	87147.8763565	0.0
K562_GRWD1	ENCSR572FFX	78311	2449	560	16	-0.130332725214	79612.1090784	0.0
HepG2_XRN2	ENCSR856ZRV	85652	2714	828	32	0.286507350698	86654.3815993	0.0
K562_SYNCRIP	ENCSR341TTW	79044	2416	1216	27	-0.461076415098	78993.008484	0.0
HepG2_SUGP2	ENCSR246RRQ	89122	2896	819	33	0.310322578958	90321.9023594	0.0
K562_CKAP4	ENCSR324WIS	83414	2596	924	46	0.67774016856	84081.0505043	0.0
K562_AKAP8	ENCSR143COQ	84454	2788	1105	37	0.0204860001301	84972.9489036	0.0
K562_DDX19B	ENCSR143COQ	86505	2824	771	30	0.253275075088	87734.19045	0.0
