mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRFBP1	ENCSR997HCQ	90515	3097	2271	185	1.25148307479	88768.0298714	0.0
HepG2_SDAD1	ENCSR521WAI	82688	2579	722	26	0.207378988159	83777.566345	0.0
K562_RBM25	ENCSR344XID	74289	1953	1084	32	0.167235710493	74026.3416835	0.0
HepG2_HNRNPAB	ENCSR279HMU	84493	2819	702	36	0.620174221362	85842.2922207	0.0
K562_TRA2A	ENCSR129RWD	81030	2563	710	28	0.318230464491	82123.5270442	0.0
HepG2_EXOSC5	ENCSR521WAI	82250	2590	596	21	0.16214057814	83610.4890058	0.0
K562_HNRNPL	ENCSR031RRO	82502	2811	1365	52	0.161028216863	82502.5459332	0.0
K562_SUPV3L1	ENCSR661HEL	78261	2526	1376	43	-0.0466329994757	77973.9250848	0.0
HepG2_SMNDC1	ENCSR491FOC	87316	2958	821	26	-0.0972466100966	88587.9480916	0.0
K562_FASTKD2	ENCSR084SCN	79000	2306	606	24	0.440176752436	80050.8983401	0.0
K562_GEMIN5	ENCSR661HEL	79434	2563	789	27	0.0848572822767	80373.1213913	0.0
HepG2_KHSRP	ENCSR237YZT	88843	3106	1045	46	0.332403104066	89779.9728889	0.0
K562_RTF1	ENCSR815CVQ	81987	2789	741	23	-0.132192444075	83254.8868452	0.0
K562_EIF3D	ENCSR661HEL	78729	2522	1196	47	0.294842150218	78784.0447499	0.0
HepG2_ABCF1	ENCSR067GHD	88008	3153	1102	39	-0.0176686929594	88893.2811887	0.0
HepG2_CEBPZ	ENCSR067GHD	86955	3118	708	13	-0.965589678757	88636.8188383	0.0
K562_EIF4A3	ENCSR913CAE	78221	2698	3715	86	-0.575288014101	73496.1801618	0.0
HepG2_HSPD1	ENCSR246RRQ	88996	3156	939	33	-0.013015844364	90218.2524798	0.0
K562_HNRNPK	ENCSR129RWD	79269	2391	1471	41	-0.11395878528	78664.000496	0.0
HepG2_ESF1	ENCSR067GHD	87396	3103	903	27	-0.247863026315	88648.5649834	0.0
HepG2_PUM1	ENCSR042QTH	89120	2998	1151	61	0.65574216371	89710.1065221	0.0
HepG2_SRSF9	ENCSR603TCV	86956	2969	1206	85	1.04561332332	87362.1595936	0.0
K562_SART3	ENCSR419JMU	81411	2721	1128	49	0.378173370125	81794.5115372	0.0
HepG2_CELF1	ENCSR042QTH	87808	2948	989	48	0.53167974704	88693.9208621	0.0
HepG2_DDX3X	ENCSR237YZT	88610	3078	1196	60	0.530293306621	89193.3124188	0.0
K562_CPEB4	ENCSR031RRO	84196	2918	819	29	0.0309612602003	85426.2548722	0.0
HepG2_FTO	ENCSR264TUE	83167	2810	1505	56	0.139176306914	82883.3506746	0.0
HepG2_DDX1	ENCSR305XWT	85094	2722	572	22	0.2658787206	86632.0227819	0.0
K562_GLRX3	ENCSR174OYC	82523	2858	803	36	0.372387271573	83711.2671523	0.0
K562_FAM120A	ENCSR661HEL	78416	2446	596	17	-0.129053936329	79640.6480439	0.0
K562_SLTM	ENCSR084SCN	78266	2246	619	29	0.70714127691	79221.2700686	0.0
K562_DROSHA	ENCSR164MUK	83574	2847	1296	46	0.0592517424391	83757.8405893	0.0
K562_NUSAP1	ENCSR572FFX	78392	2655	605	20	-0.0349405703673	79801.8198218	0.0
HepG2_HNRNPUL1	ENCSR104ABF	81203	2608	1117	38	0.0830312962454	81516.9187414	0.0
HepG2_ADAR	ENCSR305XWT	84317	2692	638	28	0.459015530011	85682.118777	0.0
K562_BCLAF1	ENCSR245BNJ	80841	2630	864	42	0.579382383894	81668.9048487	0.0
HepG2_BOP1	ENCSR264TUE	82564	2847	1470	54	0.0912855313304	82390.1966599	0.0
HepG2_RBM22	ENCSR997HCQ	90234	3144	1450	79	0.644941581241	90345.2855806	0.0
HepG2_EIF3G	ENCSR003EKR	86770	2886	644	40	0.901064340994	88293.334117	0.0
