File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF877ELN	fastq	reads	ENCSR392HSJ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/HNRNPF-human/				HNRNPF-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	1	ENCFF938GRX		1949120608	Brenton Graveley, UConn	42e02009b2a5a797b2b8cc1dbd13b687	SRA:SRR4421749	https://www.encodeproject.org/files/ENCFF877ELN/@@download/ENCFF877ELN.fastq.gz			Illumina HiSeq 2000	/files/ENCFF029QIY/, /files/ENCFF561XEM/	released	s3://encode-public/2015/08/14/ba507dd5-9d0d-41d3-a271-342b3c21c2fa/ENCFF877ELN.fastq.gz				
ENCFF888DBC	fastq	reads	ENCSR392HSJ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/HNRNPF-human/				HNRNPF-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	1	ENCFF340YJW		2250240200	Brenton Graveley, UConn	1fee08f9349acc83b3f52f07b8e1170c	SRA:SRR4421748	https://www.encodeproject.org/files/ENCFF888DBC/@@download/ENCFF888DBC.fastq.gz			Illumina HiSeq 2000	/files/ENCFF029QIY/, /files/ENCFF561XEM/	released	s3://encode-public/2015/08/14/4914f72d-d5b3-4af6-9f80-24783e84d65b/ENCFF888DBC.fastq.gz				
ENCFF938GRX	fastq	reads	ENCSR392HSJ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/HNRNPF-human/				HNRNPF-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	2	ENCFF877ELN		1799697402	Brenton Graveley, UConn	b4b25b5e367c4736c5c9b2ff62e85994	SRA:SRR4421749	https://www.encodeproject.org/files/ENCFF938GRX/@@download/ENCFF938GRX.fastq.gz			Illumina HiSeq 2000	/files/ENCFF023EZN/, /files/ENCFF464MHZ/	released	s3://encode-public/2015/08/14/4d6d7fc7-bb30-40f8-9292-6d7d5769b395/ENCFF938GRX.fastq.gz				
ENCFF340YJW	fastq	reads	ENCSR392HSJ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/HNRNPF-human/				HNRNPF-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	2	ENCFF888DBC		2085399020	Brenton Graveley, UConn	1fe5803b83dc53d6e09a5ba37fd05d93	SRA:SRR4421748	https://www.encodeproject.org/files/ENCFF340YJW/@@download/ENCFF340YJW.fastq.gz			Illumina HiSeq 2000	/files/ENCFF023EZN/, /files/ENCFF464MHZ/	released	s3://encode-public/2015/08/14/5fb4b511-1d50-4cc8-be0d-c62431994fb6/ENCFF340YJW.fastq.gz				
ENCFF295UBK	fastq	reads	ENCSR336DFS	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/RBFOX2-human/				RBFOX2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	1	ENCFF977IBG		1807440342	Brenton Graveley, UConn	0d53f37c840b036ba508da3c1f9b1f92	SRA:SRR4421655	https://www.encodeproject.org/files/ENCFF295UBK/@@download/ENCFF295UBK.fastq.gz			Illumina HiSeq 2000	/files/ENCFF162LWE/, /files/ENCFF981SWJ/	released	s3://encode-public/2015/08/14/80112350-f283-4c1d-887d-78f9b39cbbe6/ENCFF295UBK.fastq.gz				
ENCFF187PBG	fastq	reads	ENCSR336DFS	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/RBFOX2-human/				RBFOX2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	1	ENCFF588WPC		2189856298	Brenton Graveley, UConn	91df713937c26d160d1aeceb733cd98e	SRA:SRR4421654	https://www.encodeproject.org/files/ENCFF187PBG/@@download/ENCFF187PBG.fastq.gz			Illumina HiSeq 2000	/files/ENCFF162LWE/, /files/ENCFF981SWJ/	released	s3://encode-public/2015/08/14/3666ecc8-e719-4601-8b59-f7b72c482eeb/ENCFF187PBG.fastq.gz				
ENCFF977IBG	fastq	reads	ENCSR336DFS	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/RBFOX2-human/				RBFOX2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	2	ENCFF295UBK		1631743732	Brenton Graveley, UConn	fabc1781272643bc2b12366d053a280b	SRA:SRR4421655	https://www.encodeproject.org/files/ENCFF977IBG/@@download/ENCFF977IBG.fastq.gz			Illumina HiSeq 2000	/files/ENCFF087MDC/, /files/ENCFF122FYQ/	released	s3://encode-public/2015/08/14/704e9e99-b8ad-4894-82ee-c767d1b9c661/ENCFF977IBG.fastq.gz				
ENCFF588WPC	fastq	reads	ENCSR336DFS	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/RBFOX2-human/				RBFOX2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	2	ENCFF187PBG		1999381247	Brenton Graveley, UConn	824e1f5e45b21a663401055dbb1723aa	SRA:SRR4421654	https://www.encodeproject.org/files/ENCFF588WPC/@@download/ENCFF588WPC.fastq.gz			Illumina HiSeq 2000	/files/ENCFF087MDC/, /files/ENCFF122FYQ/	released	s3://encode-public/2015/08/14/5ea76f17-a60b-489f-9d5e-66543a51f3fd/ENCFF588WPC.fastq.gz				
ENCFF662YCZ	fastq	reads	ENCSR620OKS	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/EFTUD2-human/				EFTUD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-12-17	ENCODE				2	1	100		paired-ended	1	ENCFF242RPJ		2569941343	Brenton Graveley, UConn	8723dd410814f36ff0dd3a40a418c732	SRA:SRR4422049	https://www.encodeproject.org/files/ENCFF662YCZ/@@download/ENCFF662YCZ.fastq.gz			Illumina HiSeq 2000	/files/ENCFF344ITC/	released	s3://encode-public/2014/12/13/da0b04b1-d38a-45bb-a229-0e3bde9ff3dd/ENCFF662YCZ.fastq.gz				
ENCFF388HVN	fastq	reads	ENCSR620OKS	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/EFTUD2-human/				EFTUD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-12-17	ENCODE				1	1	100		paired-ended	1	ENCFF156VYR		2601574052	Brenton Graveley, UConn	20d31614ba1d3a7b95cc8d6ce1700f00	SRA:SRR4422050	https://www.encodeproject.org/files/ENCFF388HVN/@@download/ENCFF388HVN.fastq.gz			Illumina HiSeq 2000	/files/ENCFF793WXG/	released	s3://encode-public/2014/12/13/b472dc59-1309-4711-857a-3597cc7fb5d0/ENCFF388HVN.fastq.gz				
ENCFF156VYR	fastq	reads	ENCSR620OKS	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/EFTUD2-human/				EFTUD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-12-17	ENCODE				1	1	100		paired-ended	2	ENCFF388HVN		2514515182	Brenton Graveley, UConn	e972f1a11651c241351d2d0728124031	SRA:SRR4422050	https://www.encodeproject.org/files/ENCFF156VYR/@@download/ENCFF156VYR.fastq.gz			Illumina HiSeq 2000	/files/ENCFF201DSF/	released	s3://encode-public/2014/12/13/64ae1ee7-2a4c-49f0-aa10-6ff43d3a9105/ENCFF156VYR.fastq.gz				
ENCFF242RPJ	fastq	reads	ENCSR620OKS	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/EFTUD2-human/				EFTUD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-12-17	ENCODE				2	1	100		paired-ended	2	ENCFF662YCZ		2489764032	Brenton Graveley, UConn	1e118cedcb5878bb08043a4b3a4188e5	SRA:SRR4422049	https://www.encodeproject.org/files/ENCFF242RPJ/@@download/ENCFF242RPJ.fastq.gz			Illumina HiSeq 2000	/files/ENCFF314EUX/	released	s3://encode-public/2014/12/13/2c05b904-ae93-4229-9da4-69dcb72f72af/ENCFF242RPJ.fastq.gz				
ENCFF201PEI	fastq	reads	ENCSR767LLP	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/RBFOX2-human/				RBFOX2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-02-11	ENCODE				1	1	101		paired-ended	1	ENCFF508QNI		3988255553	Brenton Graveley, UConn	ccb0448ab72aca734b3738dc673287fd	SRA:SRR4422221	https://www.encodeproject.org/files/ENCFF201PEI/@@download/ENCFF201PEI.fastq.gz			Illumina HiSeq 2500	/files/ENCFF291QQH/, /files/ENCFF503VRZ/	released	s3://encode-public/2016/01/22/4c116323-4ca9-4d05-a0a7-9faef36d7099/ENCFF201PEI.fastq.gz				
ENCFF040CTS	fastq	reads	ENCSR767LLP	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/RBFOX2-human/				RBFOX2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-02-11	ENCODE				2	1	101		paired-ended	1	ENCFF435HLB		3444943880	Brenton Graveley, UConn	288d99aacb514324f2d0bb827be0e06b	SRA:SRR4422220	https://www.encodeproject.org/files/ENCFF040CTS/@@download/ENCFF040CTS.fastq.gz			Illumina HiSeq 2500	/files/ENCFF291QQH/, /files/ENCFF503VRZ/	released	s3://encode-public/2016/01/22/9f22c9ce-60cf-4c8c-98b5-ae213e736679/ENCFF040CTS.fastq.gz				
