File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF339ZUH	fastq	reads	ENCSR815CVQ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				2	1	100		paired-ended	1	ENCFF292HLM		2460848741	Brenton Graveley, UConn	49a822b22c1d76cc6d2380a034d324f3	SRA:SRR4422353	https://www.encodeproject.org/files/ENCFF339ZUH/@@download/ENCFF339ZUH.fastq.gz			Illumina HiSeq 2000	/files/ENCFF085RPO/	released	s3://encode-public/2014/10/29/b20d1330-fbce-42dc-bc55-01d0c1c081e2/ENCFF339ZUH.fastq.gz				
ENCFF312ANF	fastq	reads	ENCSR815CVQ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				1	1	100		paired-ended	1	ENCFF124WIZ		2324850274	Brenton Graveley, UConn	985b6e535d1807d7edc7dfdb2c861550	SRA:SRR4422354	https://www.encodeproject.org/files/ENCFF312ANF/@@download/ENCFF312ANF.fastq.gz			Illumina HiSeq 2000	/files/ENCFF664MUY/	released	s3://encode-public/2014/10/29/c688d04c-25dc-46a3-976d-a6b4dfd6abd4/ENCFF312ANF.fastq.gz				
ENCFF124WIZ	fastq	reads	ENCSR815CVQ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				1	1	100		paired-ended	2	ENCFF312ANF		2242776707	Brenton Graveley, UConn	15c3831a9008b7959c49a8666c9e173e	SRA:SRR4422354	https://www.encodeproject.org/files/ENCFF124WIZ/@@download/ENCFF124WIZ.fastq.gz			Illumina HiSeq 2000	/files/ENCFF691IWS/	released	s3://encode-public/2014/10/29/cec03eb2-aa69-4e51-b22d-d62ce8b2fcc4/ENCFF124WIZ.fastq.gz				
ENCFF292HLM	fastq	reads	ENCSR815CVQ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				2	1	100		paired-ended	2	ENCFF339ZUH		2367191079	Brenton Graveley, UConn	5d703df5e94d5a68a626b0cc9492441b	SRA:SRR4422353	https://www.encodeproject.org/files/ENCFF292HLM/@@download/ENCFF292HLM.fastq.gz			Illumina HiSeq 2000	/files/ENCFF457NBN/	released	s3://encode-public/2014/10/29/3344c25d-c9e0-49ce-a92e-2c7bd5dbb00f/ENCFF292HLM.fastq.gz				
ENCFF872SLD	fastq	reads	ENCSR118EFE	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-03-16	ENCODE				1	1	100		paired-ended	1	ENCFF076BTH		2182009139	Brenton Graveley, UConn	6284f65bbca112363ec0316f7aec0a1d	SRA:SRR4421359	https://www.encodeproject.org/files/ENCFF872SLD/@@download/ENCFF872SLD.fastq.gz			Illumina HiSeq 2500		released	s3://encode-public/2016/03/05/2eea1c07-b26e-466f-b907-4c1652cb7883/ENCFF872SLD.fastq.gz				
ENCFF766SOB	fastq	reads	ENCSR118EFE	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-03-16	ENCODE				2	1	100		paired-ended	1	ENCFF276SQQ		2385053405	Brenton Graveley, UConn	dd1a2be10feaf534844e66d2ccb0d5ec	SRA:SRR4421360	https://www.encodeproject.org/files/ENCFF766SOB/@@download/ENCFF766SOB.fastq.gz			Illumina HiSeq 2500		released	s3://encode-public/2016/03/05/def147d5-2faf-4ec9-9eb0-f5d7dd3d0c59/ENCFF766SOB.fastq.gz				
ENCFF076BTH	fastq	reads	ENCSR118EFE	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-03-16	ENCODE				1	1	100		paired-ended	2	ENCFF872SLD		2114359844	Brenton Graveley, UConn	13931f03d6d0ef30ed9e70bdcf786509	SRA:SRR4421359	https://www.encodeproject.org/files/ENCFF076BTH/@@download/ENCFF076BTH.fastq.gz			Illumina HiSeq 2500		released	s3://encode-public/2016/03/05/e994c8a4-c0f5-45ec-b33c-f581d6f51dfc/ENCFF076BTH.fastq.gz				
ENCFF276SQQ	fastq	reads	ENCSR118EFE	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2016-03-16	ENCODE				2	1	100		paired-ended	2	ENCFF766SOB		2408059043	Brenton Graveley, UConn	3788747ec10df95b6d0ba19ea58af7fe	SRA:SRR4421360	https://www.encodeproject.org/files/ENCFF276SQQ/@@download/ENCFF276SQQ.fastq.gz			Illumina HiSeq 2500		released	s3://encode-public/2016/03/05/5bf7ca99-35fd-4157-8f70-7e8e8f25fdab/ENCFF276SQQ.fastq.gz				
ENCFF551UKL	fastq	reads	ENCSR245BNJ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-12-17	ENCODE				2	1	100		paired-ended	1	ENCFF769DTH		2047083280	Brenton Graveley, UConn	8bc0012b3dcdedce0e187a3b1d76361b	SRA:SRR4421538	https://www.encodeproject.org/files/ENCFF551UKL/@@download/ENCFF551UKL.fastq.gz			Illumina HiSeq 2000		released	s3://encode-public/2014/12/11/82135e8e-e133-4d48-8cb3-d5cc567e54bb/ENCFF551UKL.fastq.gz				
ENCFF064AYS	fastq	reads	ENCSR245BNJ	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-12-17	ENCODE				1	1	100		paired-ended	1	ENCFF312EMW		2605374284	Brenton Graveley, UConn	34935a80868fdbc4061f1a9eb1fab7c5	SRA:SRR4421539	https://www.encodeproject.org/files/ENCFF064AYS/@@download/ENCFF064AYS.fastq.gz			Illumina HiSeq 2000		released	s3://encode-public/2014/12/11/cf8d5af4-1ac7-4c99-9742-5c9491899ada/ENCFF064AYS.fastq.gz				
