File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF510FRX	fastq	reads	ENCSR003EKR	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				1	1	100		paired-ended	1	ENCFF409JQD		1969943037	Brenton Graveley, UConn	0f27e4d79523a0b85fa52f3019818380	SRA:SRR3469384	https://www.encodeproject.org/files/ENCFF510FRX/@@download/ENCFF510FRX.fastq.gz			Illumina HiSeq 2000	/files/ENCFF022ZFY/	released	s3://encode-public/2014/11/04/2b41d29f-8a68-4f83-964b-61483f11f575/ENCFF510FRX.fastq.gz				
ENCFF307YSL	fastq	reads	ENCSR003EKR	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				2	1	100		paired-ended	1	ENCFF823EPB		2200204905	Brenton Graveley, UConn	992a504b7446284435ea58e5e4c1db1f	SRA:SRR3469385	https://www.encodeproject.org/files/ENCFF307YSL/@@download/ENCFF307YSL.fastq.gz			Illumina HiSeq 2000	/files/ENCFF533CTF/	released	s3://encode-public/2014/11/04/51875451-1bde-4b65-b835-c333c4c36999/ENCFF307YSL.fastq.gz				
ENCFF409JQD	fastq	reads	ENCSR003EKR	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				1	1	100		paired-ended	2	ENCFF510FRX		1912713038	Brenton Graveley, UConn	604e1f8a32ce96d4cc3b88cb1fdc0a3f	SRA:SRR3469384	https://www.encodeproject.org/files/ENCFF409JQD/@@download/ENCFF409JQD.fastq.gz			Illumina HiSeq 2000	/files/ENCFF785OZW/	released	s3://encode-public/2014/11/04/1012205e-71b0-4c80-bac6-1e1af74a453f/ENCFF409JQD.fastq.gz				
ENCFF823EPB	fastq	reads	ENCSR003EKR	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				2	1	100		paired-ended	2	ENCFF307YSL		2136431969	Brenton Graveley, UConn	505fa588677d530fb5a71bd45171e052	SRA:SRR3469385	https://www.encodeproject.org/files/ENCFF823EPB/@@download/ENCFF823EPB.fastq.gz			Illumina HiSeq 2000	/files/ENCFF701CAJ/	released	s3://encode-public/2014/11/04/40c3e443-93fd-416c-9971-0c2023c0b97c/ENCFF823EPB.fastq.gz				
ENCFF711JSH	fastq	reads	ENCSR305XWT	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	1	ENCFF941XAQ		2669815493	Brenton Graveley, UConn	a44ea65612d8f2d900d3c2e1b8db2bbb	SRA:SRR4421599	https://www.encodeproject.org/files/ENCFF711JSH/@@download/ENCFF711JSH.fastq.gz			Illumina HiSeq 2000		released	s3://encode-public/2015/08/12/4a6b4fbd-2450-442e-ba06-af0645868259/ENCFF711JSH.fastq.gz				
ENCFF701KJC	fastq	reads	ENCSR305XWT	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	1	ENCFF603JIF		2521102841	Brenton Graveley, UConn	2d03afc8c419050bfdfb4b6bdbf0cadd	SRA:SRR4421598	https://www.encodeproject.org/files/ENCFF701KJC/@@download/ENCFF701KJC.fastq.gz			Illumina HiSeq 2000		released	s3://encode-public/2015/08/12/8814d164-6648-48d7-a359-152ce1ebb4b5/ENCFF701KJC.fastq.gz				
ENCFF603JIF	fastq	reads	ENCSR305XWT	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	2	ENCFF701KJC		2337482652	Brenton Graveley, UConn	7596ca10938217f71ec5f971881430a0	SRA:SRR4421598	https://www.encodeproject.org/files/ENCFF603JIF/@@download/ENCFF603JIF.fastq.gz			Illumina HiSeq 2000		released	s3://encode-public/2015/08/12/d91fab78-44b2-48f8-a98f-94df669bfef2/ENCFF603JIF.fastq.gz				
ENCFF941XAQ	fastq	reads	ENCSR305XWT	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	2	ENCFF711JSH		2462970067	Brenton Graveley, UConn	98d210a0a08e69c04f12be673f00ad9e	SRA:SRR4421599	https://www.encodeproject.org/files/ENCFF941XAQ/@@download/ENCFF941XAQ.fastq.gz			Illumina HiSeq 2000		released	s3://encode-public/2015/08/12/e9877ac2-bd3c-4cd8-b434-47a3e60fbbee/ENCFF941XAQ.fastq.gz				
ENCFF276KEO	fastq	reads	ENCSR491FOC	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				2	1	100		paired-ended	2	ENCFF813XBJ		2523653438	Brenton Graveley, UConn	58ca656e3a7c7955f6b79cfe7177f579	SRA:SRR3469482	https://www.encodeproject.org/files/ENCFF276KEO/@@download/ENCFF276KEO.fastq.gz			Illumina HiSeq 2000	/files/ENCFF701CAJ/	released	s3://encode-public/2014/11/04/72c9ee3d-2914-4254-9404-f7dcd85034b0/ENCFF276KEO.fastq.gz				
ENCFF813XBJ	fastq	reads	ENCSR491FOC	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2014-11-20	ENCODE				2	1	100		paired-ended	1	ENCFF276KEO		2572732841	Brenton Graveley, UConn	552fa261c4720d79ef0d440305e29bae	SRA:SRR3469482	https://www.encodeproject.org/files/ENCFF813XBJ/@@download/ENCFF813XBJ.fastq.gz			Illumina HiSeq 2000	/files/ENCFF533CTF/	released	s3://encode-public/2014/11/04/a0a7873f-a75a-4eec-9661-0a0e68314dbe/ENCFF813XBJ.fastq.gz				
