sample	url
ENCFF155BEJ	https://www.encodeproject.org/files/ENCFF155BEJ/@@download/ENCFF155BEJ.fastq.gz
ENCFF691IWS	https://www.encodeproject.org/files/ENCFF691IWS/@@download/ENCFF691IWS.fastq.gz
ENCFF182NGK	https://www.encodeproject.org/files/ENCFF182NGK/@@download/ENCFF182NGK.fastq.gz
ENCFF760ARJ	https://www.encodeproject.org/files/ENCFF760ARJ/@@download/ENCFF760ARJ.fastq.gz
ENCFF442AYV	https://www.encodeproject.org/files/ENCFF442AYV/@@download/ENCFF442AYV.fastq.gz
ENCFF489IZZ	https://www.encodeproject.org/files/ENCFF489IZZ/@@download/ENCFF489IZZ.fastq.gz
ENCFF973CMM	https://www.encodeproject.org/files/ENCFF973CMM/@@download/ENCFF973CMM.fastq.gz
ENCFF074SVD	https://www.encodeproject.org/files/ENCFF074SVD/@@download/ENCFF074SVD.fastq.gz
ENCFF471LKZ	https://www.encodeproject.org/files/ENCFF471LKZ/@@download/ENCFF471LKZ.fastq.gz
ENCFF905PJJ	https://www.encodeproject.org/files/ENCFF905PJJ/@@download/ENCFF905PJJ.fastq.gz
ENCFF101BYW	https://www.encodeproject.org/files/ENCFF101BYW/@@download/ENCFF101BYW.fastq.gz
ENCFF931KRG	https://www.encodeproject.org/files/ENCFF931KRG/@@download/ENCFF931KRG.fastq.gz
ENCFF272SNX	https://www.encodeproject.org/files/ENCFF272SNX/@@download/ENCFF272SNX.fastq.gz
ENCFF056CJO	https://www.encodeproject.org/files/ENCFF056CJO/@@download/ENCFF056CJO.fastq.gz
ENCFF849RWY	https://www.encodeproject.org/files/ENCFF849RWY/@@download/ENCFF849RWY.fastq.gz
ENCFF865EWS	https://www.encodeproject.org/files/ENCFF865EWS/@@download/ENCFF865EWS.fastq.gz
ENCFF009FQR	https://www.encodeproject.org/files/ENCFF009FQR/@@download/ENCFF009FQR.fastq.gz
ENCFF272MLI	https://www.encodeproject.org/files/ENCFF272MLI/@@download/ENCFF272MLI.fastq.gz
ENCFF879VXM	https://www.encodeproject.org/files/ENCFF879VXM/@@download/ENCFF879VXM.fastq.gz
ENCFF503QYK	https://www.encodeproject.org/files/ENCFF503QYK/@@download/ENCFF503QYK.fastq.gz
ENCFF531WLW	https://www.encodeproject.org/files/ENCFF531WLW/@@download/ENCFF531WLW.fastq.gz
ENCFF518YAD	https://www.encodeproject.org/files/ENCFF518YAD/@@download/ENCFF518YAD.fastq.gz
ENCFF404RRH	https://www.encodeproject.org/files/ENCFF404RRH/@@download/ENCFF404RRH.fastq.gz
ENCFF926GST	https://www.encodeproject.org/files/ENCFF926GST/@@download/ENCFF926GST.fastq.gz
ENCFF913CRN	https://www.encodeproject.org/files/ENCFF913CRN/@@download/ENCFF913CRN.fastq.gz
ENCFF726LTF	https://www.encodeproject.org/files/ENCFF726LTF/@@download/ENCFF726LTF.fastq.gz
ENCFF131WOU	https://www.encodeproject.org/files/ENCFF131WOU/@@download/ENCFF131WOU.fastq.gz
ENCFF936XHH	https://www.encodeproject.org/files/ENCFF936XHH/@@download/ENCFF936XHH.fastq.gz
ENCFF363BNT	https://www.encodeproject.org/files/ENCFF363BNT/@@download/ENCFF363BNT.fastq.gz
ENCFF058KEJ	https://www.encodeproject.org/files/ENCFF058KEJ/@@download/ENCFF058KEJ.fastq.gz
ENCFF139NPY	https://www.encodeproject.org/files/ENCFF139NPY/@@download/ENCFF139NPY.fastq.gz
ENCFF969VMA	https://www.encodeproject.org/files/ENCFF969VMA/@@download/ENCFF969VMA.fastq.gz
ENCFF230IAI	https://www.encodeproject.org/files/ENCFF230IAI/@@download/ENCFF230IAI.fastq.gz
ENCFF648TGB	https://www.encodeproject.org/files/ENCFF648TGB/@@download/ENCFF648TGB.fastq.gz
ENCFF172GTQ	https://www.encodeproject.org/files/ENCFF172GTQ/@@download/ENCFF172GTQ.fastq.gz
ENCFF478TQB	https://www.encodeproject.org/files/ENCFF478TQB/@@download/ENCFF478TQB.fastq.gz
ENCFF981UMN	https://www.encodeproject.org/files/ENCFF981UMN/@@download/ENCFF981UMN.fastq.gz
ENCFF887BCE	https://www.encodeproject.org/files/ENCFF887BCE/@@download/ENCFF887BCE.fastq.gz
ENCFF518BUH	https://www.encodeproject.org/files/ENCFF518BUH/@@download/ENCFF518BUH.fastq.gz
ENCFF609YVZ	https://www.encodeproject.org/files/ENCFF609YVZ/@@download/ENCFF609YVZ.fastq.gz
ENCFF423TCH	https://www.encodeproject.org/files/ENCFF423TCH/@@download/ENCFF423TCH.fastq.gz
ENCFF824CXQ	https://www.encodeproject.org/files/ENCFF824CXQ/@@download/ENCFF824CXQ.fastq.gz
ENCFF254ZXJ	https://www.encodeproject.org/files/ENCFF254ZXJ/@@download/ENCFF254ZXJ.fastq.gz
ENCFF341IGR	https://www.encodeproject.org/files/ENCFF341IGR/@@download/ENCFF341IGR.fastq.gz
ENCFF366DGT	https://www.encodeproject.org/files/ENCFF366DGT/@@download/ENCFF366DGT.fastq.gz
ENCFF100IFZ	https://www.encodeproject.org/files/ENCFF100IFZ/@@download/ENCFF100IFZ.fastq.gz
ENCFF715JYT	https://www.encodeproject.org/files/ENCFF715JYT/@@download/ENCFF715JYT.fastq.gz
ENCFF935MFR	https://www.encodeproject.org/files/ENCFF935MFR/@@download/ENCFF935MFR.fastq.gz
ENCFF601DBP	https://www.encodeproject.org/files/ENCFF601DBP/@@download/ENCFF601DBP.fastq.gz
ENCFF540UNK	https://www.encodeproject.org/files/ENCFF540UNK/@@download/ENCFF540UNK.fastq.gz
ENCFF138XJC	https://www.encodeproject.org/files/ENCFF138XJC/@@download/ENCFF138XJC.fastq.gz
ENCFF792QAB	https://www.encodeproject.org/files/ENCFF792QAB/@@download/ENCFF792QAB.fastq.gz
ENCFF986FPH	https://www.encodeproject.org/files/ENCFF986FPH/@@download/ENCFF986FPH.fastq.gz
ENCFF178MWG	https://www.encodeproject.org/files/ENCFF178MWG/@@download/ENCFF178MWG.fastq.gz
ENCFF026XUB	https://www.encodeproject.org/files/ENCFF026XUB/@@download/ENCFF026XUB.fastq.gz
ENCFF546VNH	https://www.encodeproject.org/files/ENCFF546VNH/@@download/ENCFF546VNH.fastq.gz
ENCFF617GKY	https://www.encodeproject.org/files/ENCFF617GKY/@@download/ENCFF617GKY.fastq.gz
ENCFF817WSL	https://www.encodeproject.org/files/ENCFF817WSL/@@download/ENCFF817WSL.fastq.gz
ENCFF911PIU	https://www.encodeproject.org/files/ENCFF911PIU/@@download/ENCFF911PIU.fastq.gz
ENCFF183BFH	https://www.encodeproject.org/files/ENCFF183BFH/@@download/ENCFF183BFH.fastq.gz
ENCFF662YCZ	https://www.encodeproject.org/files/ENCFF662YCZ/@@download/ENCFF662YCZ.fastq.gz
ENCFF006QAK	https://www.encodeproject.org/files/ENCFF006QAK/@@download/ENCFF006QAK.fastq.gz
ENCFF010JXT	https://www.encodeproject.org/files/ENCFF010JXT/@@download/ENCFF010JXT.fastq.gz
ENCFF264VUF	https://www.encodeproject.org/files/ENCFF264VUF/@@download/ENCFF264VUF.fastq.gz
ENCFF678ZHA	https://www.encodeproject.org/files/ENCFF678ZHA/@@download/ENCFF678ZHA.fastq.gz
ENCFF135KIN	https://www.encodeproject.org/files/ENCFF135KIN/@@download/ENCFF135KIN.fastq.gz
ENCFF393SIM	https://www.encodeproject.org/files/ENCFF393SIM/@@download/ENCFF393SIM.fastq.gz
ENCFF474LCK	https://www.encodeproject.org/files/ENCFF474LCK/@@download/ENCFF474LCK.fastq.gz
ENCFF975LDB	https://www.encodeproject.org/files/ENCFF975LDB/@@download/ENCFF975LDB.fastq.gz
ENCFF090TZB	https://www.encodeproject.org/files/ENCFF090TZB/@@download/ENCFF090TZB.fastq.gz
ENCFF284HWX	https://www.encodeproject.org/files/ENCFF284HWX/@@download/ENCFF284HWX.fastq.gz
ENCFF578FTQ	https://www.encodeproject.org/files/ENCFF578FTQ/@@download/ENCFF578FTQ.fastq.gz
ENCFF815OVM	https://www.encodeproject.org/files/ENCFF815OVM/@@download/ENCFF815OVM.fastq.gz
ENCFF356FGY	https://www.encodeproject.org/files/ENCFF356FGY/@@download/ENCFF356FGY.fastq.gz
