sample	condition
ENCFF155BEJ	K562_BACH1
ENCFF471LKZ	HepG2_TUFM
ENCFF905PJJ	HepG2_LARP4
ENCFF101BYW	K562_BUD13
ENCFF931KRG	HepG2_FTO
ENCFF865EWS	HepG2_RPLP0
ENCFF272MLI	HepG2_PRPF4
ENCFF531WLW	HepG2_PABPC1
ENCFF518YAD	HepG2_EIF3D
ENCFF404RRH	K562_AATF
ENCFF913CRN	K562_ATP5C1
ENCFF726LTF	ENCSR129RWD
ENCFF363BNT	ENCSR142YZV
ENCFF139NPY	HepG2_NAA15
ENCFF969VMA	HepG2_PARN
ENCFF230IAI	ENCSR521WAI
ENCFF981UMN	HepG2_ILF3
ENCFF887BCE	HepG2_SSRP1
ENCFF423TCH	K562_WDR43
ENCFF254ZXJ	K562_IGF2BP1
ENCFF935MFR	K562_UBE2L3
ENCFF138XJC	HepG2_FUS
ENCFF546VNH	ENCSR042QTH
ENCFF817WSL	K562_SRSF9
ENCFF911PIU	K562_SMN1
ENCFF183BFH	K562_HLTF
ENCFF662YCZ	HepG2_EFTUD2
ENCFF006QAK	ENCSR674KEK
ENCFF678ZHA	HepG2_FTO
ENCFF135KIN	HepG2_BCCIP
ENCFF090TZB	K562_ARID3A
ENCFF578FTQ	K562_SRFBP1
ENCFF356FGY	K562_LSM11
ENCFF559ZLS	HepG2_PUS1
ENCFF041YGN	HepG2_CSTF2
ENCFF807JYP	K562_ILF3
ENCFF060PJQ	K562_EIF3H
ENCFF761WMV	K562_DDX21
ENCFF488MOL	HepG2_GRWD1
ENCFF647LIH	K562_CCDC124
ENCFF163IDA	HepG2_ZC3H8
ENCFF002BYR	K562_TARDBP
ENCFF714YYN	HepG2_SRSF1
ENCFF303JYO	K562_SRSF5
ENCFF529CRN	K562_DDX47
ENCFF497EYP	K562_DDX3X
ENCFF656GCJ	K562_DGCR8
ENCFF248GRO	HepG2_FUBP3
ENCFF077QGG	HepG2_DDX28
ENCFF307IXW	HepG2_DNAJC21
ENCFF002CAN	ENCSR081EST
ENCFF228TQK	K562_TIA1
ENCFF002CBH	K562_POLR2G
ENCFF813XBJ	ENCSR491FOC
ENCFF377HLA	K562_APOBEC3C
ENCFF029XLP	K562_MSI2
ENCFF697QSK	HepG2_GRSF1
ENCFF866CST	HepG2_ACO1
ENCFF274QSX	HepG2_RPS5
ENCFF958XZI	HepG2_PUM2
ENCFF952XLG	K562_EXOSC9
ENCFF339DLT	K562_AARS
ENCFF062EEN	HepG2_PABPC1
ENCFF237BNB	K562_UBTF
ENCFF706QKU	HepG2_DDX21
ENCFF480VHY	K562_CNOT7
ENCFF123FGM	HepG2_MARK2
ENCFF987GAK	K562_MAX
ENCFF607UZB	HepG2_LSM11
ENCFF717GWL	K562_PRPF6
ENCFF144QRE	K562_PPIL4
ENCFF559JCM	HepG2_FASTKD2
ENCFF942ELT	HepG2_DHX30
ENCFF870LAT	K562_RCC2
ENCFF281GKZ	HepG2_G3BP1
ENCFF746IQK	K562_PARN
ENCFF105EPY	K562_METAP2
ENCFF361BPK	ENCSR174OYC
ENCFF539FEL	ENCSR661HEL
ENCFF089FAQ	HepG2_CCAR2
ENCFF118MHK	K562_TROVE2
ENCFF796MOB	K562_SRPK2
ENCFF147FOE	K562_DDX55
ENCFF689SMR	ENCSR024FOF
ENCFF276WBM	K562_KIF1C
ENCFF578LUJ	HepG2_SAFB2
ENCFF190HYE	HepG2_NUP35
ENCFF291QQH	ENCSR104ABF
ENCFF249YXO	K562_DDX21
ENCFF495VXI	HepG2_AATF
ENCFF238NHD	K562_AGGF1
ENCFF968OEL	HepG2_MATR3
ENCFF308UBT	K562_ZRANB2
ENCFF285CHT	HepG2_PRPF8
ENCFF457DTV	K562_PABPC4
ENCFF072XHS	HepG2_HDGF
ENCFF196NMR	HepG2_SMNDC1
ENCFF758ALR	HepG2_HNRNPL
ENCFF996LTS	HepG2_MTPAP
ENCFF412MVK	HepG2_NUSAP1
ENCFF724OXW	HepG2_DDX19B
ENCFF837IUI	K562_EIF4G2
ENCFF102NCM	ENCSR163JUC
ENCFF078GVE	K562_TRNAU1AP
ENCFF988NMV	ENCSR584UYK
ENCFF851STY	K562_NELFE
ENCFF453XVV	HepG2_IGF2BP2
ENCFF845TFX	HepG2_FAM120A
ENCFF405UJA	HepG2_EIF2S1
ENCFF599HVT	ENCSR126QVF
ENCFF779LOY	K562_GRSF1
ENCFF954NTL	HepG2_CEBPZ
ENCFF791EFT	K562_PES1
ENCFF753WMF	K562_AGO1
ENCFF043USC	K562_CELF1
ENCFF211SQJ	K562_HNRNPA0
ENCFF410MFK	HepG2_NKRF
ENCFF603LXK	HepG2_CPSF7
ENCFF767CPV	K562_TAL1
ENCFF013ZBD	HepG2_DDX21
ENCFF048UWF	K562_RPS3A
ENCFF501EWO	K562_ILF2
ENCFF402OGW	HepG2_SRP68
ENCFF630ZDV	K562_HNRNPL
ENCFF988YSM	HepG2_SRSF7
ENCFF798DTH	K562_STAU1
ENCFF008UHA	K562_CSTF2T
ENCFF888DBC	K562_HNRNPF
ENCFF880DON	K562_ZRANB2
ENCFF167MYT	HepG2_SUGP2
ENCFF289HLB	K562_STIP1
ENCFF082HTI	K562_ABCF1
ENCFF272JXX	HepG2_ILF2
ENCFF048SDS	HepG2_SND1
ENCFF665BGI	HepG2_RPL23A
ENCFF339AAQ	HepG2_FMR1
ENCFF862RGW	K562_EIF4G1
ENCFF017WXT	ENCSR913CAE
ENCFF483XPE	K562_SSRP1
ENCFF336OBP	K562_RAVER1
ENCFF893DVI	K562_DDX51
ENCFF743EKS	ENCSR032YMP
ENCFF155CZF	K562_HNRNPH1
ENCFF374DXZ	HepG2_NOLC1
ENCFF399ZJQ	K562_UPF1
ENCFF076EAI	ENCSR163JUC
ENCFF326WTJ	ENCSR164MUK
ENCFF885RKO	HepG2_NIP7
ENCFF036XQB	HepG2_STAU1
ENCFF592ZZR	HepG2_HNRNPM
ENCFF897FIU	HepG2_U2AF1
ENCFF630LSV	HepG2_CCAR2
ENCFF002CAZ	ENCSR942UNX
ENCFF182RAD	HepG2_BCLAF1
ENCFF550NYY	HepG2_APOBEC3C
ENCFF366MJN	ENCSR279HMU
