sample	unit	fq1	fq2	strandedness
ENCFF155BEJ	1	FASTQ/ENCFF155BEJ.fastq.gz	FASTQ/ENCFF508LOI.fastq.gz	none
ENCFF471LKZ	1	FASTQ/ENCFF471LKZ.fastq.gz	FASTQ/ENCFF939PHY.fastq.gz	yes
ENCFF905PJJ	1	FASTQ/ENCFF905PJJ.fastq.gz	FASTQ/ENCFF996ORV.fastq.gz	yes
ENCFF101BYW	1	FASTQ/ENCFF101BYW.fastq.gz	FASTQ/ENCFF960DSZ.fastq.gz	yes
ENCFF931KRG	1	FASTQ/ENCFF931KRG.fastq.gz	FASTQ/ENCFF827UKA.fastq.gz	yes
ENCFF865EWS	1	FASTQ/ENCFF865EWS.fastq.gz	FASTQ/ENCFF840EXO.fastq.gz	yes
ENCFF272MLI	1	FASTQ/ENCFF272MLI.fastq.gz	FASTQ/ENCFF824CXQ.fastq.gz	yes
ENCFF531WLW	1	FASTQ/ENCFF531WLW.fastq.gz	FASTQ/ENCFF816NNN.fastq.gz	yes
ENCFF518YAD	1	FASTQ/ENCFF518YAD.fastq.gz	FASTQ/ENCFF454XED.fastq.gz	yes
ENCFF404RRH	1	FASTQ/ENCFF404RRH.fastq.gz	FASTQ/ENCFF674JZT.fastq.gz	yes
ENCFF913CRN	1	FASTQ/ENCFF913CRN.fastq.gz	FASTQ/ENCFF721FEW.fastq.gz	yes
ENCFF726LTF	1	FASTQ/ENCFF726LTF.fastq.gz	FASTQ/ENCFF569YVH.fastq.gz	yes
ENCFF363BNT	1	FASTQ/ENCFF363BNT.fastq.gz	FASTQ/ENCFF792ISO.fastq.gz	none
ENCFF139NPY	1	FASTQ/ENCFF139NPY.fastq.gz	FASTQ/ENCFF943RCH.fastq.gz	yes
ENCFF969VMA	1	FASTQ/ENCFF969VMA.fastq.gz	FASTQ/ENCFF665CRU.fastq.gz	yes
ENCFF230IAI	1	FASTQ/ENCFF230IAI.fastq.gz	FASTQ/ENCFF550QYI.fastq.gz	yes
ENCFF981UMN	1	FASTQ/ENCFF981UMN.fastq.gz	FASTQ/ENCFF088WND.fastq.gz	yes
ENCFF887BCE	1	FASTQ/ENCFF887BCE.fastq.gz	FASTQ/ENCFF969GRN.fastq.gz	yes
ENCFF423TCH	1	FASTQ/ENCFF423TCH.fastq.gz	FASTQ/ENCFF973JAQ.fastq.gz	yes
ENCFF254ZXJ	1	FASTQ/ENCFF254ZXJ.fastq.gz	FASTQ/ENCFF715JYT.fastq.gz	yes
ENCFF935MFR	1	FASTQ/ENCFF935MFR.fastq.gz	FASTQ/ENCFF566CJR.fastq.gz	yes
ENCFF138XJC	1	FASTQ/ENCFF138XJC.fastq.gz	FASTQ/ENCFF259VDL.fastq.gz	yes
ENCFF546VNH	1	FASTQ/ENCFF546VNH.fastq.gz	FASTQ/ENCFF420URE.fastq.gz	yes
