ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2806	"ENSG00000147403.12"	"RPL10"	chrX	+	153628143	153628967	153628143	153628282	153628815	153628967	2806	5604,6708	215,35	6229,4485	43,35	197	99	4.81625705984e-09	2.19428671646e-05	0.929,0.99	0.986,0.985	-0.026
7111	"ENSG00000063177.8"	"RPL18"	chr19	-	49118587	49119203	49118587	49118704	49119133	49119203	7111	87,111	2350,2851	52,23	2346,1623	197	99	4.77449679339e-05	0.108763036953	0.018,0.019	0.011,0.007	0.009
1001	"ENSG00000099849.10"	"RASSF7"	chr11	+	563188	563478	563188	563317	563395	563478	1001	26,33	1,4	29,18	4,2	176	99	0.526495540305	1.0	0.936,0.823	0.803,0.835	0.06
1002	"ENSG00000111325.12"	"OGFOD2"	chr12	+	123460357	123461314	123460357	123460414	123461200	123461314	1002	19,17	20,19	14,10	16,11	197	99	0.938372891515	1.0	0.323,0.31	0.305,0.314	0.007
1003	"ENSG00000111325.12"	"OGFOD2"	chr12	+	123460357	123461314	123460357	123460414	123461147	123461314	1003	15,17	2,0	11,10	1,1	197	99	0.729535766055	1.0	0.79,1.0	0.847,0.834	0.054
1004	"ENSG00000111325.12"	"OGFOD2"	chr12	+	123462871	123463116	123462871	123462906	123462988	123463116	1004	52,40	1,0	45,27	2,2	180	99	0.236001971637	1.0	0.966,1.0	0.925,0.881	0.08
1007	"ENSG00000197111.11"	"PCBP2"	chr12	+	53849130	53849277	53849130	53849154	53849244	53849277	1007	0,0	323,327	3,1	327,272	188	99	1	1.0	0.0,0.0	0.005,0.002	-0.004
1008	"ENSG00000197111.11"	"PCBP2"	chr12	+	53848167	53848653	53848167	53848375	53848509	53848653	1008	34,14	1,4	26,18	1,1	197	99	0.679174535651	1.0	0.945,0.638	0.929,0.9	-0.123
100	"ENSG00000145029.7"	"NICN1"	chr3	-	49462381	49462871	49462381	49462486	49462799	49462871	100	15,22	11,6	14,8	4,3	197	99	0.530203019284	1.0	0.407,0.648	0.638,0.573	-0.078
1012	"ENSG00000168397.12"	"ATG4B"	chr2	+	242607226	242607636	242607226	242607410	242607557	242607636	1012	19,25	1,0	15,10	1,0	197	99	0.579737924701	1.0	0.905,1.0	0.883,1.0	0.011
1013	"ENSG00000168397.12"	"ATG4B"	chr2	+	242590424	242590750	242590424	242590526	242590678	242590750	1013	13,7	190,140	6,3	189,144	197	99	0.0691995975833	1.0	0.033,0.025	0.016,0.01	0.016
1015	"ENSG00000213719.4"	"CLIC1"	chr6	-	31704038	31704344	31704038	31704127	31704259	31704344	1015	4171,3777	35,16	3347,2825	23,14	197	99	0.846225779049	1.0	0.984,0.992	0.987,0.99	-0.0
1016	"ENSG00000148229.8"	"POLE3"	chr9	-	116171889	116172420	116171889	116172008	116172334	116172420	1016	11,6	122,117	4,3	147,121	197	99	0.039140841374	1.0	0.043,0.025	0.013,0.012	0.022
1017	"ENSG00000120833.9"	"SOCS2"	chr12	+	93966460	93969982	93966460	93966812	93968497	93969982	1017	13,12	121,143	8,6	94,66	197	99	0.901187917973	1.0	0.051,0.04	0.041,0.044	0.003
1018	"ENSG00000116691.6"	"MIIP"	chr1	+	12089279	12090181	12089279	12089951	12090084	12090181	1018	83,106	44,67	61,35	46,27	197	99	0.245023121952	1.0	0.487,0.443	0.4,0.394	0.068
