ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2971	"ENSG00000143621.12"	"ILF2"	chr1	-	153635494	153635609	153635690	153635752	153635180	153635271	153636518	153636606	2971	1066,1833	240,369	617,635	321,344	160	197	2.02060590482e-14	1.00949471005e-10	0.845,0.859	0.703,0.694	0.154
859	"ENSG00000148229.8"	"POLE3"	chr9	-	116171889	116172008	116172334	116172420	116169514	116171263	116172507	116172662	859	116,216	280,380	56,72	448,360	184	197	6.01518834742e-13	1.50259404919e-09	0.307,0.378	0.118,0.176	0.196
2720	"ENSG00000168028.9"	"RPSA"	chr3	+	39450096	39450230	39452244	39452490	39449111	39449277	39453139	39453268	2720	5406,8616	1689,2668	1017,1004	622,583	197	197	1.68821667756e-09	2.81144350703e-06	0.762,0.764	0.621,0.633	0.136
1148	"ENSG00000100129.13"	"EIF3L"	chr22	+	38254685	38254747	38259278	38259352	38251571	38251651	38266182	38266354	1148	402,609	179,268	85,92	90,98	160	172	1.93782203617e-08	2.42033972318e-05	0.707,0.71	0.504,0.502	0.205
55	"ENSG00000168385.13"	"SEPT2"	chr2	+	242274540	242274627	242275389	242275513	242265407	242265528	242276796	242276931	55	94,128	149,241	107,122	76,85	185	197	5.1028579362e-08	5.09877564985e-05	0.402,0.361	0.6,0.604	-0.22
72	"ENSG00000156515.17"	"HK1"	chr10	+	71148952	71149052	71158350	71158584	71146078	71146174	71160746	71161638	72	565,849	349,642	134,101	33,37	197	197	2.45746064331e-06	0.00204624556233	0.618,0.569	0.802,0.732	-0.174
2065	"ENSG00000073921.13"	"PICALM"	chr11	-	85694908	85695016	85707868	85707972	85692914	85693046	85711685	85711822	2065	847,1457	163,262	433,426	147,148	197	197	3.17330429955e-06	0.00226483261151	0.839,0.848	0.747,0.742	0.099
3291	"ENSG00000102898.7"	"NUTF2"	chr16	+	67899004	67899132	67902242	67902314	67880837	67880888	67902403	67902502	3291	122,201	502,757	108,129	221,260	197	170	4.04751450278e-06	0.00252767280699	0.173,0.186	0.297,0.3	-0.119
6552	"ENSG00000138592.9"	"USP8"	chr15	+	50754476	50754519	50763829	50763992	50751196	50751359	50769045	50769190	6552	52,57	36,51	114,71	22,26	141	197	7.46541800933e-06	0.00414413648607	0.669,0.61	0.879,0.792	-0.196
6149	"ENSG00000139323.9"	"POC1B"	chr12	-	89864137	89864271	89865944	89866052	89861393	89861462	89885712	89885892	6149	2,1	41,39	10,12	21,25	197	197	8.92951315568e-06	0.00446118477258	0.047,0.025	0.323,0.324	-0.287
