ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
8731	"ENSG00000229117.4"	"RPL41"	chr12	+	56510551	56510647	56510551	56510583	56511265	56511471	8731	44,232	0,5	188,145	27,15	162	99	1.15270045163e-05	0.0752943935005	1.0,0.966	0.81,0.855	0.15
10452	"ENSG00000100028.7"	"SNRPD3"	chr22	+	24951976	24952196	24951976	24952025	24953624	24953768	10452	941,714	28,15	391,391	27,21	197	99	0.000256505457826	0.83774682526	0.944,0.96	0.879,0.903	0.061
10000	"ENSG00000215717.5"	"TMEM167B"	chr1	+	109635511	109635704	109635511	109635643	109637038	109639556	10000	6,8	89,92	8,5	66,48	159	99	0.315240765959	1.0	0.04,0.051	0.07,0.061	-0.02
10001	"ENSG00000132471.7"	"WBP2"	chr17	-	73851260	73851416	73851319	73851416	73847648	73847757	10001	3,2	399,516	2,1	400,318	157	99	1	1.0	0.005,0.002	0.003,0.002	0.001
10002	"ENSG00000177728.10"	"KIAA0195"	chr17	+	73494992	73495199	73494992	73495163	73495342	73496171	10002	2,0	48,55	2,1	46,30	134	99	0.447941867289	1.0	0.03,0.0	0.031,0.024	-0.013
10003	"ENSG00000177728.10"	"KIAA0195"	chr17	+	73491364	73491543	73491364	73491480	73491624	73491724	10003	2,0	79,6	1,0	36,29	161	99	0.907685045576	1.0	0.015,0.0	0.017,0.0	-0.001
10004	"ENSG00000177728.10"	"KIAA0195"	chr17	+	73487383	73487548	73487383	73487536	73487771	73487981	10004	31,36	63,56	20,12	47,33	110	99	0.243133833489	1.0	0.307,0.367	0.277,0.247	0.075
10005	"ENSG00000177728.10"	"KIAA0195"	chr17	+	73467880	73468036	73467880	73468010	73481508	73481628	10005	2,0	55,55	1,0	22,19	124	99	0.468246053701	1.0	0.028,0.0	0.035,0.0	-0.004
10006	"ENSG00000177728.10"	"KIAA0195"	chr17	+	73487771	73487981	73487771	73487933	73488554	73488870	10006	47,26	6,2	31,19	6,4	146	99	0.252933671974	1.0	0.842,0.898	0.778,0.763	0.1
10007	"ENSG00000177728.10"	"KIAA0195"	chr17	+	73489009	73489213	73489009	73489183	73489571	73489674	10007	6,5	22,9	5,2	22,13	128	99	0.371546741811	1.0	0.174,0.301	0.15,0.106	0.109
10009	"ENSG00000069329.11"	"VPS35"	chr16	-	46712854	46713068	46712992	46713068	46711226	46711310	10009	14,216	1,0	74,99	0,0	197	99	0.711258861103	1.0	0.876,1.0	1.0,1.0	-0.062
10012	"ENSG00000165568.13"	"AKR1E2"	chr10	+	4883976	4884049	4883976	4884032	4884612	4884696	10012	2,2	0,3	2,2	0,0	115	99	1	1.0	1.0,0.365	1.0,1.0	-0.318
10014	"ENSG00000128923.6"	"FAM63B"	chr15	+	59113915	59114022	59113915	59114018	59123972	59124115	10014	4,0	25,10	3,3	21,13	102	99	0.544467670543	1.0	0.134,0.0	0.122,0.183	-0.085
10015	"ENSG00000255624.1"	"RP11-564D11.3"	chr10	+	124640186	124640389	124640186	124640255	124641113	124641183	10015	11,10	0,0	7,5	1,0	197	99	1	1.0	1.0,1.0	0.779,1.0	0.111
10016	"ENSG00000255624.1"	"RP11-564D11.3"	chr10	+	124640190	124640272	124640190	124640255	124641113	124641183	10016	2,3	0,0	3,3	1,0	115	99	1	1.0	1.0,1.0	0.721,1.0	0.139
